编号!@#文本!@#拆分信息!@#（粗粒度）分词!@#（细粒度）分词!@#（auto粗粒度）分词!@#（auto细粒度）分词!@#词性!@#（auto）词性!@#时间!@#（auto）时间!@#地点!@#术语!@#（auto）地点!@#数量词!@#成分分析!@#（auto）成分分析!@#高阶模板!@#高阶模板类型!@#高阶模板线索词!@#二阶模板!@#二阶模板类型!@#二阶模板线索词!@#选项问句!@#（auto）高阶模板!@#（auto）二阶模板!@#（auto）高阶模板线索词!@#(auto)选项问句!@#（auto）二阶模板线索词!@#（auto）高阶模板类型!@#（auto）二阶模板类型!@#选项类别!@#题干前导类型!@#题干核心类型!@#题干核心动词!@#可删除的套话!@#上下文信息
1-A!@#当好奇号探测车登陆火星表面时，美国肯尼迪航天中心（28°30′N，80°42′W）的区时是	8月5日13时31分!@#None!@#当 好奇号 探测车 登陆 火星 表面 时 ， 美国肯尼迪航天中心 （ 28°30′N ， 80°42′W ） 的 区时 是 8月5日13时31分!@#当 好奇号 探测车 登陆 火星 表面 时 ， 美国 肯尼迪 航天 中心 （ 28° 30 ′ N ， 80° 42 ′ W ） 的 区时 是 8月 5日 13时 31分!@#当 好奇号 探测车 登陆 火星 表面 时 ， 美国 肯尼迪 航天 中心 （ 28°30′N ， 80°42′W ） 的 区时 是 8月5日13时31分!@#当 好奇号 探测车 登陆 火星 表面 时 ， 美国 肯尼迪 航天 中心 （ 28°30′N ， 80°42′W ） 的 区时 是 8月 5日 13时 31分!@#P NN NN VV loc NN LC PU loc PU num PU num PU DEG NN VC time!@#P NN NN VV NR NN LC PU NR PU NN PU NN PU DEG NN VC NN!@#17!@#17!@#4 8!@#15!@#!@#10 12!@#!@#( (IP (PP (P 当) (LCP (IP (NP (NN 好奇号) (NN 探测车)) (VP (VV 登陆) (NP (NR 火星) (NN 表面)))) (LC 时))) (PU ，) (NP (DNP (NP (NR 美国肯尼迪航天中心) (PRN (PU （) (QP (CD 28°30′N) (PU ，) (CD 80°42′W)) (PU ）))) (DEG 的)) (NP (NN 区时))) (VP (VC 是) (NP (NT 8月5日13时31分)))) )!@#!@#!@#!@#指示_0(美国肯尼迪航天中心（28°30′N，80°42′W）的区时,8月5日13时31分)!@#指示!@#0_16!@#8-17!@#!@#!@#!@#!@#!@#!@#!@#名词短语(时间/地点/实体/其他)!@#时间状语!@#名词短语+动词短语!@#16!@#!@#
8-A!@#关于导致北京遭遇暴雪的天气系统的相关叙述，正确的是	冷锋过境，锋前暖气团湿度较大!@#n!@#关于 导致 北京 遭遇 暴雪 的 天气 系统 的 相关 叙述 ， 正确 的 是 冷锋 过境 ， 锋前 暖气团 湿度 较 大!@#关于 导致 北京 遭遇 暴雪 的 天气 系统 的 相关 叙述 ， 正确 的 是 冷锋 过境 ， 锋前 暖气团 湿度 较 大!@#关于 导致 北京 遭遇 暴雪 的 天气系统 的 相关 叙述 ， 正确 的 是 冷锋 过境 ， 锋前 暖气团 湿度 较 大!@#关于 导致 北京 遭遇 暴雪 的 天气系统 的 相关 叙述 ， 正确 的 是 冷锋 过境 ， 锋前 暖气团 湿度 较 大!@#P VV loc VV NN DEG NN NN DEG JJ NN PU VA DEC VC term VV PU JJ NN NN AD VA!@#P VV NR VV NN DEG NN NN DEG JJ NN PU VA DEC VC NN VV PU LC NN NN AD VA!@#!@#!@#2!@#15 19!@#2!@#!@#!@#( (IP (NP (DNP (NP (DNP (PP (P 关于) (IP (VP (VV 导致) (IP (NP (NR 北京)) (VP (VV 遭遇) (NP (NN 暴雪))))))) (DEG 的)) (NP (NN 天气) (NN 系统))) (DEG 的)) (ADJP (JJ 相关)) (NP (NN 叙述))) (PU ，) (NP (CP (IP (VP (VA 正确))) (DEC 的))) (VP (VC 是) (IP (IP (NP (NN 冷锋)) (VP (VV 过境))) (PU ，) (IP (NP (ADJP (JJ 锋前)) (NP (NN 暖气团))) (NP (NN 湿度)) (VP (ADVP (AD 较)) (VP (VA 大))))))) )!@#!@#!@#!@#运动_0(冷锋,#,过境) 其他陈述_1(锋前暖气团,湿度,较大)!@#其他陈述 运动!@#0_16!@#15-22!@#!@#!@#!@#!@#!@#!@#!@#含主语的句子!@# null!@#null!@#14!@#0 8-14!@#1-7
8-B!@#关于导致北京遭遇暴雪的天气系统的相关叙述，正确的是	受准静止锋影响，形成持续降水!@#n!@#关于 导致 北京 遭遇 暴雪 的 天气 系统 的 相关 叙述 ， 正确 的 是 受 准静止锋 影响 ， 形成 持续 降水!@#关于 导致 北京 遭遇 暴雪 的 天气 系统 的 相关 叙述 ， 正确 的 是 受 准 静止锋 影响 ， 形成 持续 降水!@#关于 导致 北京 遭遇 暴雪 的 天气系统 的 相关 叙述 ， 正确 的 是 受 准静止锋 影响 ， 形成 持续 降水!@#关于 导致 北京 遭遇 暴雪 的 天气系统 的 相关 叙述 ， 正确 的 是 受 准静止锋 影响 ， 形成 持续 降水!@#P VV loc VV NN DEG NN NN DEG JJ NN PU VA DEC VC VV term NN PU VV JJ NN!@#P VV NR VV NN DEG NN NN DEG JJ NN PU VA DEC VC VV NN NN PU VV JJ NN!@#!@#!@#2!@#16!@#2!@#!@#!@#( (IP (NP (DNP (NP (DNP (PP (P 关于) (IP (VP (VV 导致) (IP (NP (NR 北京)) (VP (VV 遭遇) (NP (NN 暴雪))))))) (DEG 的)) (NP (NN 天气) (NN 系统))) (DEG 的)) (ADJP (JJ 相关)) (NP (NN 叙述))) (PU ，) (NP (CP (IP (VP (VA 正确))) (DEC 的))) (VP (VC 是) (VP (VP (VV 受) (NP (NN 准静止锋) (NN 影响))) (PU ，) (VP (VV 形成) (NP (ADJP (JJ 持续)) (NP (NN 降水))))))) )!@#!@#!@#!@#影响_0(准静止锋,#,#,持续降水)!@#影响!@#0_17!@#15-21!@#!@#!@#!@#!@#!@#!@#!@#不含主语的句子（动词短语)!@#!@#!@#!@#0 8-14!@#1-7
8-C!@#关于导致北京遭遇暴雪的天气系统的相关叙述，正确的是	受下沉气流影响，降水较多!@#y!@#关于 导致 北京 遭遇 暴雪 的 天气 系统 的 相关 叙述 ， 正确 的 是 受 下沉 气流 影响 ， 降水 较 多!@#关于 导致 北京 遭遇 暴雪 的 天气 系统 的 相关 叙述 ， 正确 的 是 受 下沉 气流 影响 ， 降水 较 多!@#关于 导致 北京 遭遇 暴雪 的 天气系统 的 相关 叙述 ， 正确 的 是 受 下沉气流 影响 ， 降水 较 多!@#关于 导致 北京 遭遇 暴雪 的 天气系统 的 相关 叙述 ， 正确 的 是 受 下沉气流 影响 ， 降水 较 多!@#P VV loc VV NN DEG NN NN DEG JJ NN PU VA DEC VC VV NN NN NN PU NN AD VA!@#P VV NR VV NN DEG NN NN DEG JJ NN PU VA DEC VC VV NN NN NN PU NN AD VA!@#!@#!@#2!@#16-17!@#2!@#!@#!@#( (IP (IP (NP (DNP (NP (DNP (PP (P 关于) (IP (VP (VV 导致) (IP (NP (NR 北京)) (VP (VV 遭遇) (NP (NN 暴雪))))))) (DEG 的)) (NP (NN 天气) (NN 系统))) (DEG 的)) (ADJP (JJ 相关)) (NP (NN 叙述))) (PU ，) (NP (CP (IP (VP (VA 正确))) (DEC 的))) (VP (VC 是) (VP (VV 受) (NP (NP (NN 下沉) (NN 气流)) (NP (NN 影响)))))) (PU ，) (NP (NN 降水)) (VP (ADVP (AD 较)) (VP (VA 多)))) )!@#!@#!@#!@#影响_0(下沉气流,#,#,降水较多)!@#影响!@#0_18!@#15-22!@#!@#!@#!@#!@#!@#!@#!@#不含主语的句子（动词短语)!@#!@#!@#!@#0 8-14!@#1-7
8-C-0!@#关于导致北京遭遇暴雪的天气系统的相关叙述，正确的是	受下沉气流影响!@#ed-ori!@#关于 导致 北京 遭遇 暴雪 的 天气 系统 的 相关 叙述 ， 正确 的 是 受 下沉 气流 影响!@#关于 导致 北京 遭遇 暴雪 的 天气 系统 的 相关 叙述 ， 正确 的 是 受 下沉 气流 影响!@#关于 导致 北京 遭遇 暴雪 的 天气系统 的 相关 叙述 ， 正确 的 是 受 下沉气流 影响!@#关于 导致 北京 遭遇 暴雪 的 天气系统 的 相关 叙述 ， 正确 的 是 受 下沉气流 影响!@#P VV loc VV NN DEG NN NN DEG JJ NN PU VA DEC VC VV NN NN NN!@#P VV NR VV NN DEG NN NN DEG JJ NN PU VA DEC VC VV NN NN NN!@#!@#!@#2!@#!@#2!@#!@#!@#( (IP (NP (DNP (NP (DNP (PP (P 关于) (IP (VP (VV 导致) (IP (NP (NR 北京)) (VP (VV 遭遇) (NP (NN 暴雪))))))) (DEG 的)) (NP (NN 天气) (NN 系统))) (DEG 的)) (ADJP (JJ 相关)) (NP (NN 叙述))) (PU ，) (NP (CP (IP (VP (VA 正确))) (DEC 的))) (VP (VC 是) (IP (VP (VV 受) (NP (NP (NN 下沉) (NN 气流)) (NP (NN 影响))))))) )!@#!@#!@#!@#其他陈述_0(受,下沉气流,影响)!@#其他陈述!@#!@#15-18!@#!@#!@#!@#!@#!@#!@#!@#不含主语的句子（动词短语)!@#!@#!@#!@#0 8-14!@#1-7
8-C-1!@#关于导致北京遭遇暴雪的天气系统的相关叙述，正确的是	降水较多!@#ed-ori!@#关于 导致 北京 遭遇 暴雪 的 天气 系统 的 相关 叙述 ， 正确 的 是 降水 较 多!@#关于 导致 北京 遭遇 暴雪 的 天气 系统 的 相关 叙述 ， 正确 的 是 降水 较 多!@#关于 导致 北京 遭遇 暴雪 的 天气系统 的 相关 叙述 ， 正确 的 是 降水 较 多!@#关于 导致 北京 遭遇 暴雪 的 天气系统 的 相关 叙述 ， 正确 的 是 降水 较 多!@#P VV loc VV NN DEG NN NN DEG JJ NN PU VA DEC VC NN AD VA!@#P VV NR VV NN DEG NN NN DEG JJ NN PU VA DEC VC NN AD VA!@#!@#!@#2!@#!@#2!@#!@#!@#( (IP (NP (DNP (NP (DNP (PP (P 关于) (IP (VP (VV 导致) (IP (NP (NR 北京)) (VP (VV 遭遇) (NP (NN 暴雪))))))) (DEG 的)) (NP (NN 天气) (NN 系统))) (DEG 的)) (ADJP (JJ 相关)) (NP (NN 叙述))) (PU ，) (NP (CP (IP (VP (VA 正确))) (DEC 的))) (VP (VC 是) (IP (NP (NN 降水)) (VP (ADVP (AD 较)) (VP (VA 多)))))) )!@#!@#!@#!@#其他陈述_0(降水,较多)!@#其他陈述!@#!@#15-17!@#!@#!@#!@#!@#!@#!@#!@#含主语的句子!@#!@#!@#!@#0 8-14!@#1-7
8-D!@#关于导致北京遭遇暴雪的天气系统的相关叙述，正确的是	受台风影响，形成暴雪!@#n!@#关于 导致 北京 遭遇 暴雪 的 天气 系统 的 相关 叙述 ， 正确 的 是 受 台风 影响 ， 形成 暴雪!@#关于 导致 北京 遭遇 暴雪 的 天气 系统 的 相关 叙述 ， 正确 的 是 受 台风 影响 ， 形成 暴雪!@#关于 导致 北京 遭遇 暴雪 的 天气系统 的 相关 叙述 ， 正确 的 是 受 台风 影响 ， 形成 暴雪!@#关于 导致 北京 遭遇 暴雪 的 天气系统 的 相关 叙述 ， 正确 的 是 受 台风 影响 ， 形成 暴雪!@#P VV loc VV NN DEG NN NN DEG JJ NN PU VA DEC VC VV term NN PU VV NN!@#P VV NR VV NN DEG NN NN DEG JJ NN PU VA DEC VC VV NN NN PU VV NN!@#!@#!@#2!@#16!@#2!@#!@#!@#( (IP (NP (DNP (NP (DNP (PP (P 关于) (IP (VP (VV 导致) (IP (NP (NR 北京)) (VP (VV 遭遇) (NP (NN 暴雪))))))) (DEG 的)) (NP (NN 天气) (NN 系统))) (DEG 的)) (ADJP (JJ 相关)) (NP (NN 叙述))) (PU ，) (NP (CP (IP (VP (VA 正确))) (DEC 的))) (VP (VC 是) (IP (VP (VP (VV 受) (NP (NN 台风) (NN 影响))) (PU ，) (VP (VV 形成) (NP (NN 暴雪))))))) )!@#!@#!@#!@#影响_0(台风,#,#,暴雪)!@#影响!@#0_17!@#15-20!@#!@#!@#!@#!@#!@#!@#!@#不含主语的句子（动词短语)!@#!@#!@#!@#0 8-14!@#1-7
9-A!@#2012年11月4日凌晨，国家气象局对北京市西北部发布了暴雪红色预警。下列说法正确的是	灾害预警评估使用的地理信息技术依次是GIS、GPS、RS!@#None!@#2012年11月4日凌晨 ， 国家 气象局 对 北京市西北部 发布 了 暴雪 红色 预警 。 下列 说法 正确 的 是 灾害 预警 评估 使用 的 地理信息技术 依次 是 GIS 、 GPS 、 RS!@#2012年 11月 4日 凌晨 ， 国家 气象局 对 北京市 西北部 发布 了 暴雪 红色 预警 。 下列 说法 正确 的 是 灾害 预警 评估 使用 的 地理 信息 技术 依次 是 GIS 、 GPS 、 RS!@#2012年11月4日 凌晨 ， 国家 气象局 对 北京市 西北部 发布 了 暴雪 红色 预警 。 下列 说法 正确 的 是 灾害 预警 评估 使用 的 地理信息技术 依次 是 GIS 、 GPS 、 RS!@#2012年 11月 4日 凌晨 ， 国家 气象局 对 北京市 西北部 发布 了 暴雪 红色 预警 。 下列 说法 正确 的 是 灾害 预警 评估 使用 的 地理信息技术 依次 是 GIS 、 GPS 、 RS!@#NT PU NN NN P NR VV AS NN JJ NN PU JJ NN VA DEC VC NN NN NN VV DEC NN AD VC NN PU NN PU NN!@#CD PU NN NN P NR VV AS NN JJ NN PU JJ NN VA DEC VC NN NN NN VV DEC NN AD VC NN PU NN PU NN!@#0!@#0!@#5!@#22 25 27 29!@#!@#!@#!@#( (IP (IP (NP (NT 2012年11月4日凌晨)) (PU ，) (NP (NN 国家) (NN 气象局)) (VP (PP (P 对) (NP (NR 北京市西北部))) (VP (VV 发布) (AS 了) (NP (NP (NN 暴雪)) (ADJP (JJ 红色)) (NP (NN 预警)))))) (PU 。) (IP (NP (ADJP (JJ 下列)) (NP (NN 说法))) (NP (CP (IP (VP (VA 正确))) (DEC 的))) (VP (VC 是) (IP (NP (CP (IP (NP (NP (NN 灾害) (NN 预警)) (NP (NN 评估))) (VP (VV 使用))) (DEC 的)) (NP (NN 地理信息技术))) (VP (ADVP (AD 依次)) (VP (VC 是) (NP (NN GIS) (PU 、) (NN GPS) (PU 、) (NN RS)))))))) )!@#!@#!@#!@#指示_0（灾害预警评估使用的地理信息技术，GIS、GPS、RS）!@#指示!@#0_23-24!@#17-29!@#!@#!@#!@#!@#!@#!@#!@#含主语的句子!@# 时间状语 陈述句!@#null!@#16!@#12-16!@#
9-B!@#2012年11月4日凌晨，国家气象局对北京市西北部发布了暴雪红色预警。下列说法正确的是	通过灾害预警评估可以准确获知受灾面积和损失程度!@#None!@#2012年11月4日凌晨 ， 国家 气象局 对 北京市西北部 发布 了 暴雪 红色 预警 。 下列 说法 正确 的 是 通过 灾害 预警 评估 可以 准确 获知 受灾 面积 和 损失 程度!@#2012年 11月 4日 凌晨 ， 国家 气象局 对 北京市 西北部 发布 了 暴雪 红色 预警 。 下列 说法 正确 的 是 通过 灾害 预警 评估 可以 准确 获知 受灾 面积 和 损失 程度!@#2012年11月4日 凌晨 ， 国家 气象局 对 北京市 西北部 发布 了 暴雪 红色 预警 。 下列 说法 正确 的 是 通过 灾害 预警 评估 可以 准确 获知 受灾 面积 和 损失 程度!@#2012年 11月 4日 凌晨 ， 国家 气象局 对 北京市 西北部 发布 了 暴雪 红色 预警 。 下列 说法 正确 的 是 通过 灾害 预警 评估 可以 准确 获知 受灾 面积 和 损失 程度!@#time PU NN NN P loc VV AS NN JJ NN PU JJ NN VA DEC VC P NN NN NN VV AD VV NN NN CC NN NN!@#CD PU NN NN P NR VV AS NN JJ NN PU JJ NN VA DEC VC P NN NN NN VV AD VV NN NN CC NN NN!@#0!@#0!@#5!@#!@#!@#!@#!@#( (IP (IP (NP (NT 2012年11月4日凌晨)) (PU ，) (NP (NN 国家) (NN 气象局)) (VP (PP (P 对) (NP (NR 北京市西北部))) (VP (VV 发布) (AS 了) (NP (NP (NN 暴雪)) (ADJP (JJ 红色)) (NP (NN 预警)))))) (PU 。) (IP (NP (ADJP (JJ 下列)) (NP (NN 说法))) (NP (CP (IP (VP (VA 正确))) (DEC 的))) (VP (VC 是) (IP (VP (PP (P 通过) (NP (NP (NN 灾害) (NN 预警)) (NP (NN 评估)))) (VP (VV 可以) (VP (ADVP (AD 准确)) (VP (VV 获知) (NP (NP (NP (NN 受灾)) (NP (NN 面积) (CC 和) (NN 损失))) (NP (NN 程度))))))))))) )!@#!@#!@#!@#因素关联_0(灾害预警评估,受灾面积和损失程度)!@#因素关联!@#0_17-23!@#17-28!@#!@#!@#!@#!@#!@#!@#!@#含主语的句子!@#!@#!@#!@#12-16!@#
9-C!@#2012年11月4日凌晨，国家气象局对北京市西北部发布了暴雪红色预警。下列说法正确的是	该预警信息促使全市冬季供暖工作提前启动!@#None!@#2012年11月4日凌晨 ， 国家 气象局 对 北京市西北部 发布 了 暴雪 红色 预警 。 下列 说法 正确 的 是 该 预警 信息 促使 全市 冬季 供暖 工作 提前 启动!@#2012年 11月 4日 凌晨 ， 国家 气象局 对 北京市 西北部 发布 了 暴雪 红色 预警 。 下列 说法 正确 的 是 该 预警 信息 促使 全市 冬季 供暖 工作 提前 启动!@#2012年11月4日 凌晨 ， 国家 气象局 对 北京市 西北部 发布 了 暴雪 红色 预警 。 下列 说法 正确 的 是 该 预警 信息 促使 全市 冬季 供暖 工作 提前 启动!@#2012年 11月 4日 凌晨 ， 国家 气象局 对 北京市 西北部 发布 了 暴雪 红色 预警 。 下列 说法 正确 的 是 该 预警 信息 促使 全市 冬季 供暖 工作 提前 启动!@#time PU NN NN P loc VV AS NN JJ NN PU JJ NN VA DEC VC DT NN NN VV NN time NN NN AD VV!@#CD PU NN NN P NR VV AS NN JJ NN PU JJ NN VA DEC VC DT NN NN VV NN NN NN NN AD VV!@#0 22!@#0 22!@#5!@#!@#!@#!@#!@#( (IP (IP (NP (NT 2012年11月4日凌晨)) (PU ，) (NP (NN 国家) (NN 气象局)) (VP (PP (P 对) (NP (NR 北京市西北部))) (VP (VV 发布) (AS 了) (NP (NP (NN 暴雪)) (ADJP (JJ 红色)) (NP (NN 预警))))) (PU 。)) (IP (NP (ADJP (JJ 下列)) (NP (NN 说法))) (NP (CP (IP (VP (VA 正确))) (DEC 的))) (VP (VC 是) (IP (NP (DP (DT 该)) (NP (NN 预警) (NN 信息))) (VP (VV 促使) (NP (NN 全市)) (IP (NP (NT 冬季)) (NP (NN 供暖) (NN 工作)) (VP (ADVP (AD 提前)) (VP (VV 启动))))))))) )!@#!@#!@#!@#影响_0(该预警信息,全市冬季供暖活动,#,提前启动)!@#影响!@#0_20!@#17-26!@#!@#!@#!@#!@#!@#!@#!@#含主语的句子!@#!@#!@#!@#12-16!@#
9-D!@#2012年11月4日凌晨，国家气象局对北京市西北部发布了暴雪红色预警。下列说法正确的是	该预警信息的发布会导致交通压力增大!@#None!@#2012年11月4日凌晨 ， 国家 气象局 对 北京市西北部 发布 了 暴雪 红色 预警 。 下列 说法 正确 的 是 该 预警 信息 的 发布 会 导致 交通 压力 增大!@#2012年 11月 4日 凌晨 ， 国家 气象局 对 北京市 西北部 发布 了 暴雪 红色 预警 。 下列 说法 正确 的 是 该 预警 信息 的 发布 会 导致 交通 压力 增大!@#2012年11月4日 凌晨 ， 国家 气象局 对 北京市 西北部 发布 了 暴雪 红色 预警 。 下列 说法 正确 的 是 该 预警 信息 的 发布 会 导致 交通 压力 增大!@#2012年 11月 4日 凌晨 ， 国家 气象局 对 北京市 西北部 发布 了 暴雪 红色 预警 。 下列 说法 正确 的 是 该 预警 信息 的 发布 会 导致 交通 压力 增大!@#NT PU NN NN P NR VV AS NN JJ NN PU JJ NN VA DEC VC DT NN NN DEG NN VV VV NN NN VV!@#CD PU NN NN P NR VV AS NN JJ NN PU JJ NN VA DEC VC DT NN NN DEG VV VV VV NN NN VV!@#0!@#0!@#5!@#!@#!@#!@#!@#( (IP (IP (NP (NT 2012年11月4日凌晨)) (PU ，) (NP (NN 国家) (NN 气象局)) (VP (PP (P 对) (NP (NR 北京市西北部))) (VP (VV 发布) (AS 了) (NP (NP (NN 暴雪)) (ADJP (JJ 红色)) (NP (NN 预警)))))) (PU 。) (IP (NP (ADJP (JJ 下列)) (NP (NN 说法))) (NP (CP (IP (VP (VA 正确))) (DEC 的))) (VP (VC 是) (IP (NP (DNP (NP (DP (DT 该)) (NP (NN 预警) (NN 信息))) (DEG 的)) (NP (NN 发布))) (VP (VV 会) (VP (VV 导致) (IP (NP (NN 交通) (NN 压力)) (VP (VV 增大))))))))) )!@#!@#!@#!@#影响_0(该预警信息的发布,交通压力,#,增大)!@#影响!@#0_23!@#17-26!@#!@#!@#!@#!@#!@#!@#!@#含主语的句子!@#!@#!@#!@#12-16!@#
10-A!@#该大陆及沿岸洋流性质可能为	南美洲大陆、寒流!@#None!@#该 大陆 及 沿岸 洋流 性质 可能 为 南美洲大陆 、 寒流!@#该 大陆 及 沿岸 洋流 性质 可能 为 南美洲 大陆 、 寒流!@#该 大陆 及 沿岸 洋流 性质 可能 为 南美洲 大陆 、 寒流!@#该 大陆 及 沿岸 洋流 性质 可能 为 南美洲 大陆 、 寒流!@#DT NN CC NN NN NN VV VV NR PU NN!@#DT NN CC NN NN NN AD VC NR PU NN!@#!@#!@#8!@#4 10!@#!@#!@#!@#( (IP (NP (NP (DP (DT 该)) (NP (NN 大陆) (CC 及) (NN 沿岸))) (NP (NN 洋流) (NN 性质))) (VP (VV 可能) (VP (VV 为) (NP (NP (NR 南美洲大陆)) (PU 、) (NP (NN 寒流)))))) )!@#!@#!@#!@#指示_0(该大陆及沿岸洋流性质,南美洲大陆、寒流)!@#指示!@#0_7!@#0-10!@#!@#!@#!@#!@#!@#!@#!@#名词短语序列(List<时间/地点/实体/其他>)!@#null!@#名词短语+动词短语!@#7!@#6!@#
10-B!@#该大陆及沿岸洋流性质可能为	非洲大陆、暖流!@#None!@#该 大陆 及 沿岸 洋流 性质 可能 为 非洲大陆 、 暖流!@#该 大陆 及 沿岸 洋流 性质 可能 为 非洲 大陆 、 暖流!@#该 大陆 及 沿岸 洋流 性质 可能 为 非洲 大陆 、 暖流!@#该 大陆 及 沿岸 洋流 性质 可能 为 非洲 大陆 、 暖流!@#DT NN CC NN NN NN VV VV NR PU NN!@#DT NN CC NN NN NN AD VC CD PU NN!@#!@#!@#8!@#4 10!@#!@#!@#!@#( (IP (NP (NP (DP (DT 该)) (NP (NN 大陆) (CC 及) (NN 沿岸))) (NP (NN 洋流) (NN 性质))) (VP (VV 可能) (VP (VV 为) (NP (NP (NR 非洲大陆)) (PU 、) (NP (NN 暖流)))))) )!@#!@#!@#!@#指示_0(该大陆及沿岸洋流性质,非洲大陆、暖流)!@#指示!@#0_7!@#0-10!@#!@#!@#!@#!@#!@#!@#!@#名词短语序列(List<时间/地点/实体/其他>)!@#!@#!@#!@#6!@#
10-C!@#该大陆及沿岸洋流性质可能为	北美洲大陆、寒流!@#None!@#该 大陆 及 沿岸 洋流 性质 可能 为 北美洲大陆 、 寒流!@#该 大陆 及 沿岸 洋流 性质 可能 为 北美洲 大陆 、 寒流!@#该 大陆 及 沿岸 洋流 性质 可能 为 北美洲 大陆 、 寒流!@#该 大陆 及 沿岸 洋流 性质 可能 为 北美洲 大陆 、 寒流!@#DT NN CC NN NN NN VV VV NR PU NN!@#DT NN CC NN NN NN AD VC NR PU NN!@#!@#!@#8!@#4 10!@#!@#!@#!@#( (IP (NP (NP (DP (DT 该)) (NP (NN 大陆) (CC 及) (NN 沿岸))) (NP (NN 洋流) (NN 性质))) (VP (VV 可能) (VP (VV 为) (NP (NP (NR 北美洲大陆)) (PU 、) (NP (NN 寒流)))))) )!@#!@#!@#!@#指示_0(该大陆及沿岸洋流性质,北美洲大陆、寒流)!@#指示!@#0_7!@#0-10!@#!@#!@#!@#!@#!@#!@#!@#名词短语序列(List<时间/地点/实体/其他>)!@#!@#!@#!@#6!@#
10-D!@#该大陆及沿岸洋流性质可能为	澳大利亚大陆、暖流!@#None!@#该 大陆 及 沿岸 洋流 性质 可能 为 澳大利亚大陆 、 暖流!@#该 大陆 及 沿岸 洋流 性质 可能 为 澳大利亚 大陆 、 暖流!@#该 大陆 及 沿岸 洋流 性质 可能 为 澳大利亚 大陆 、 暖流!@#该 大陆 及 沿岸 洋流 性质 可能 为 澳大利亚 大陆 、 暖流!@#DT NN CC term NN NN VV VV loc PU term!@#DT NN CC NN NN NN AD VC NR PU NN!@#!@#!@#8!@#3 10!@#!@#!@#!@#( (IP (NP (NP (DP (DT 该)) (NP (NN 大陆) (CC 及) (NN 沿岸))) (NP (NN 洋流) (NN 性质))) (VP (VV 可能) (VP (VV 为) (NP (NP (NR 澳大利亚大陆)) (PU 、) (NP (NN 暖流)))))) )!@#!@#!@#!@#指示_0(该大陆及沿岸洋流性质,澳大利亚大陆、暖流)!@#指示!@#0_7!@#0-10!@#!@#!@#!@#!@#!@#!@#!@#名词短语序列(List<时间/地点/实体/其他>)!@#!@#!@#!@#6!@#
11-A!@#该海区表层海水大规模离岸而去，影响其流动的主要盛行风是	东北信风!@#None!@#该 海区 表层 海水 大规模 离 岸 而 去 ， 影响 其 流动 的 主要 盛行风 是 东北信风!@#该 海区 表层 海水 大规模 离 岸 而 去 ， 影响 其 流动 的 主要 盛行风 是 东北 信风!@#该 海区 表层 海水 大规模 离 岸 而 去 ， 影响 其 流动 的 主要 盛行风 是 东北信风!@#该 海区 表层 海水 大规模 离 岸 而 去 ， 影响 其 流动 的 主要 盛行风 是 东北信风!@#DT NN JJ NN JJ VV NN MSP VV PU VV PN NN DEG JJ term VC term!@#DT NN JJ NN AD VV NN MSP VV PU VV PN NN DEG JJ NN VC NN!@#!@#!@#!@#15 17!@#!@#!@#!@#( (IP (IP (NP (NP (DP (DT 该)) (NP (NN 海区))) (ADJP (JJ 表层)) (NP (NN 海水))) (VP (ADJP (JJ 大规模)) (VP (VP (VV 离) (NP (NN 岸))) (VP (MSP 而) (VP (VV 去)))))) (PU ，) (IP (IP (VP (VV 影响) (NP (DNP (NP (NP (PN 其)) (NP (NN 流动))) (DEG 的)) (ADJP (JJ 主要)) (NP (NN 盛行风))))) (VP (VC 是) (NP (NN 东北信风))))) )!@#影响_0(东北信风,该海区表层海水的流动,#,大规模离岸而去)!@#影响!@#0_10!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#名词短语(时间/地点/实体/其他)!@#陈述句!@#名词短语+动词短语!@#16!@#14!@#
