编号!@#文本!@#拆分信息!@#（粗粒度）分词!@#（细粒度）分词!@#（auto粗粒度）分词!@#（auto细粒度）分词!@#词性!@#（auto）词性!@#时间!@#（auto）时间!@#地点!@#术语!@#（auto）地点!@#数量词!@#成分分析!@#（auto）成分分析!@#高阶模板!@#高阶模板类型!@#高阶模板线索词!@#二阶模板!@#二阶模板类型!@#二阶模板线索词!@#选项问句!@#（auto）高阶模板!@#（auto）二阶模板!@#（auto）高阶模板线索词!@#(auto)选项问句!@#（auto）二阶模板线索词!@#（auto）高阶模板类型!@#（auto）二阶模板类型!@#选项类别!@#题干前导类型!@#题干核心类型!@#题干核心动词!@#可删除的套话!@#上下文信息
1-A!@#该景观	形成受海水侵蚀的影响!@#None!@#该 景观 形成 受 海水 侵蚀 的 影响!@#该 景观 形成 受 海水 侵蚀 的 影响!@#该 景观 形成 受 海水侵蚀 的 影响!@#该 景观 形成 受 海水侵蚀 的 影响!@#DT NN VV VV NN term DEG NN!@#DT NN VV VV NN NN DEG NN!@#!@#!@#!@#5!@#!@#!@#!@#( (IP (NP (DP (DT 该)) (NP (NN 景观))) (VP (VV 形成) (NP (DNP (NP (CP (IP (VP (VV 受) (NP (NN 海水))))) (NP (NN 侵蚀))) (DEG 的)) (NP (NN 影响))))) )!@#!@#!@#!@#影响_0(海水侵蚀,该景观,#,形成)!@#影响!@#0_7!@#0-7!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#
6-D!@#在6月到8月期间	便于在⑤地开展科学考察!@#None!@#在 6月到8月期间 便于 在 ⑤地 开展 科学 考察!@#在 6月 到 8月 期间 便于 在 ⑤地 开展 科学 考察!@#在 6月到8月 期间 便于 在 ⑤地 开展 科学 考察!@#在 6月 到 8月 期间 便于 在 ⑤地 开展 科学 考察!@#P time VV P loc VV NN NN!@#P NT VV P NN VV NN NN!@#1!@#1 4!@#4!@#!@#!@#!@#!@#( (IP (VP (PP (P 在) (NP (NT 6月到8月期间))) (VP (VV 便于) (VP (PP (P 在) (NP (NR ⑤地))) (VP (VV 开展) (NP (NN 科学) (NN 考察))))))) )!@#!@#!@#!@#时间限定_0(6月到8月期间,1)其他陈述_1(便于在⑤地开展科学考察)!@#时间限定 其他陈述!@#!@#0-7!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#
7-A!@#该日最可能出现在	1月!@#None!@#该 日 最 可能 出现 在 1月!@#该 日 最 可能 出现 在 1月!@#该 日 最 可能 出现 在 1月!@#该 日 最 可能 出现 在 1月!@#DT NN AD VV VV P time!@#DT NN AD AD VV P NT!@#6!@#6!@#!@#!@#!@#!@#!@#( (IP (NP (DP (DT 该)) (NP (NN 日))) (VP (ADVP (AD 最)) (VP (VV 可能) (VP (VV 出现) (PP (P 在) (NP (NT 1月))))))) )!@#!@#!@#!@#其他陈述_0(该日,出现在,1月)!@#其他陈述!@#!@#0-6!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#
7-B!@#该日最可能出现在	4月!@#None!@#该 日 最 可能 出现 在 4月!@#该 日 最 可能 出现 在 4月!@#该 日 最 可能 出现 在 4月!@#该 日 最 可能 出现 在 4月!@#DT NN AD VV VV P time!@#DT NN AD AD VV P NT!@#6!@#6!@#!@#!@#!@#!@#!@#( (IP (NP (DP (DT 该)) (NP (NN 日))) (VP (ADVP (AD 最)) (VP (VV 可能) (VP (VV 出现) (PP (P 在) (NP (NT 4月))))))) )!@#!@#!@#!@#其他陈述_0(该日,出现在,4月)!@#其他陈述!@#!@#0-6!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#
7-C!@#该日最可能出现在	7月!@#None!@#该 日 最 可能 出现 在 7月!@#该 日 最 可能 出现 在 7月!@#该 日 最 可能 出现 在 7月!@#该 日 最 可能 出现 在 7月!@#DT NN AD VV VV P time!@#DT NN AD AD VV P NT!@#6!@#6!@#!@#!@#!@#!@#!@#( (IP (NP (DP (DT 该)) (NP (NN 日))) (VP (ADVP (AD 最)) (VP (VV 可能) (VP (VV 出现) (PP (P 在) (NP (NT 7月))))))) )!@#!@#!@#!@#其他陈述_0(该日,出现在,7月)!@#其他陈述!@#!@#0-6!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#
7-D!@#该日最可能出现在	10月!@#None!@#该 日 最 可能 出现 在 10月!@#该 日 最 可能 出现 在 10月!@#该 日 最 可能 出现 在 10月!@#该 日 最 可能 出现 在 10月!@#DT NN AD VV VV P time!@#DT NN AD AD VV P NT!@#6!@#6!@#!@#!@#!@#!@#!@#( (IP (NP (DP (DT 该)) (NP (NN 日))) (VP (ADVP (AD 最)) (VP (VV 可能) (VP (VV 出现) (PP (P 在) (NP (NT 10月))))))) )!@#!@#!@#!@#其他陈述_0(该日,出现在,10月)!@#其他陈述!@#!@#0-6!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#
8-A!@#图中	河流形成于距今2300万年前!@#None!@#图 中 河流 形成 于 距今2300万年前!@#图 中 河流 形成 于 距今 2300万年 前!@#图 中 河流 形成 于 距今 2300万年前!@#图 中 河流 形成 于 距今 2300万 年 前!@#NN LC NN VV P time!@#NN LC NN VV P NN!@#5!@#5!@#!@#!@#!@#!@#!@#( (IP (NP (LCP (NP (NN 图)) (LC 中)) (NP (NN 河流))) (VP (VV 形成) (PP (P 于) (NP (NT 距今2300万年前))))) )!@#!@#!@#!@#其他陈述_0(河流,形成于,距今2300万年前)!@#其他陈述!@#!@#2-5!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#0-1!@#
8-B!@#图中	①处经历了先侵蚀后沉积过程!@#None!@#图 中 ①处 经历 了 先 侵蚀 后 沉积 过程!@#图 中 ①处 经历 了 先 侵蚀 后 沉积 过程!@#图 中 ①处 经历 了 先 侵蚀 后 沉积 过程!@#图 中 ①处 经历 了 先 侵蚀 后 沉积 过程!@#NN LC NN VV AS AD term AD term NN!@#NN LC NN VV AS AD VV AD VV NN!@#!@#2!@#2!@#6 8!@#!@#!@#!@#( (IP (NP (LCP (NP (NN 图)) (LC 中)) (NP (NN ①处))) (VP (VV 经历) (AS 了) (NP (IP (ADVP (AD 先)) (NP (NN 侵蚀)) (VP (ADVP (AD 后)) (VP (NP (NN 沉积))))) (NP (NN 过程))))) )!@#!@#!@#!@#其他陈述_0(①处,经历了,先侵蚀后沉积过程)!@#其他陈述!@#!@#2-9!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#0-1!@#
8-C!@#图中	②处底层由下到上是连续的!@#None!@#图 中 ②处 底层 由 下 到 上 是 连续 的!@#图 中 ②处 底层 由 下 到 上 是 连续 的!@#图 中 ②处 底层 由 下 到 上 是 连续 的!@#图 中 ②处 底层 由 下 到 上 是 连续 的!@#NN LC NN NN P NN P NN VC JJ DEG!@#NN LC NN NN P NN P NN VC JJ DEG!@#!@#2!@#2!@#!@#!@#!@#!@#( (IP (NP (NP (LCP (NP (NN 图)) (LC 中)) (NP (NN ②处))) (NP (NN 底层))) (VP (PP (PP (P 由) (NP (NN 下))) (PP (P 到) (NP (NN 上)))) (VP (VC 是) (DNP (ADJP (JJ 连续)) (DEG 的))))) )!@#!@#!@#!@#其他陈述_0(②处底层由下到上是连续的)!@#其他陈述!@#!@#2-10!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#0-1!@#
8-D!@#图中	河流③处左岸侵蚀，右岸堆积!@#y!@#图 中 河流 ③处 左岸 侵蚀 ， 右岸 堆积!@#图 中 河流 ③处 左岸 侵蚀 ， 右岸 堆积!@#图 中 河流 ③处 左岸 侵蚀 ， 右岸 堆积!@#图 中 河流 ③处 左岸 侵蚀 ， 右岸 堆积!@#NN LC NN NN NN term PU NN term!@#NN LC NN NN NN VA PU NN VA!@#!@#3!@#3!@#5 8!@#!@#!@#!@#( (NP (NP (NP (LCP (NP (NN 图)) (LC 中)) (NP (NN 河流))) (NP (NP (NN ③处) (NN 左岸)) (NP (NN 侵蚀)))) (PU ，) (NP (NN 右岸) (NN 堆积))) )!@#!@#!@#!@#其他陈述_0(流③处左岸侵蚀)其他陈述_1(河流③处右岸堆积)!@#其他陈述!@#!@#2-8!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#0-1!@#
8-D-0!@#图中	河流③处左岸侵蚀!@#ed-ori!@#图 中 河流 ③处 左岸 侵蚀!@#图 中 河流 ③处 左岸 侵蚀!@#图 中 河流 ③处 左岸 侵蚀!@#图 中 河流 ③处 左岸 侵蚀!@#NN LC NN NN NN term!@#NN LC NN NN NN VA!@#!@#3!@#3!@#5!@#!@#!@#!@#( (NP (NP (NP (LCP (NP (NN 图)) (LC 中)) (NP (NN 河流))) (NP (NN ③处) (NN 左岸))) (NP (NN 侵蚀))) )!@#!@#!@#!@#其他陈述_0(流③处左岸侵蚀)!@#其他陈述!@#!@#2-5!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#0-1!@#
8-D-1!@#图中	河流③处右岸堆积!@#ed-mod!@#图 中 河流 ③处 右岸 堆积!@#图 中 河流 ③处 右岸 堆积!@#图 中 河流 ③处 右岸 堆积!@#图 中 河流 ③处 右岸 堆积!@#NN LC NN NN NN term!@#NN LC NN NN NN VA!@#!@#3!@#3!@#5!@#!@#!@#!@#( (NP (LCP (NP (NN 图)) (LC 中)) (NP (NN 河流) (NN ③处) (NN 右岸)) (NP (NN 堆积))) )!@#!@#!@#!@#其他陈述_0(河流③处右岸堆积)!@#其他陈述!@#!@#2-5!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#0-1!@#
9-A!@#该聚落	出现在图中所示断裂产生前!@#None!@#该 聚落 出现 在 图 中 所示 断裂 产生 前!@#该 聚落 出现 在 图 中 所示 断裂 产生 前!@#该 聚落 出现 在 图 中 所示 断裂 产生 前!@#该 聚落 出现 在 图 中 所示 断裂 产生 前!@#DT NN VV P NN LC VV NN VV LC!@#DT NN VV P NN LC VV NN VV LC!@#!@#!@#!@#!@#!@#!@#!@#( (IP (NP (DP (DT 该)) (NP (NN 聚落))) (VP (VV 出现) (PP (P 在) (LCP (LCP (NP (NN 图)) (LC 中)) (VP (VV 所示) (IP (NP (NN 断裂)) (VP (VV 产生)))) (LC 前))))) )!@#!@#!@#!@#其他陈述_0(该聚落,出现在,图中所示断裂产生前)!@#其他陈述!@#!@#0-9!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#
9-B!@#该聚落	坐落在河流冲积平原上!@#None!@#该 聚落 坐落 在 河流 冲积平原 上!@#该 聚落 坐落 在 河流 冲积 平原 上!@#该 聚落 坐落 在 河流 冲积平原 上!@#该 聚落 坐落 在 河流 冲积平原 上!@#DT NN VV P NN term LC!@#DT NN VV P NN NN LC!@#!@#!@#!@#5!@#!@#!@#!@#( (IP (NP (DP (DT 该)) (NP (NN 聚落))) (VP (VV 坐落) (PP (P 在) (LCP (NP (NN 河流) (NN 冲积平原)) (LC 上))))) )!@#!@#!@#!@#其他陈述_0(该聚落,坐落在,河流冲积平原上)!@#其他陈述!@#!@#0-6!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#
9-C!@#该聚落	自然景观以落叶阔叶林为主!@#None!@#该 聚落 自然 景观 以 落叶阔叶林 为主!@#该 聚落 自然 景观 以 落叶 阔叶林 为主!@#该 聚落 自然 景观 以 落叶阔叶林 为主!@#该 聚落 自然 景观 以 落叶阔叶林 为主!@#DT NN NN NN P term VV!@#DT NN NN NN P NN VV!@#!@#!@#!@#5!@#!@#!@#!@#( (IP (NP (NP (DP (DT 该)) (NP (NN 聚落))) (NP (NN 自然) (NN 景观))) (VP (PP (P 以) (NP (NN 落叶阔叶林))) (VP (VV 为主)))) )!@#!@#!@#!@#分布_0(该聚落自然景观,以落叶阔叶林为主)!@#分布!@#0_4-6!@#0-6!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#
9-D!@#该聚落	居住区适宜向河滩扩展!@#None!@#该 聚落 居住区 适宜 向 河滩 扩展!@#该 聚落 居住区 适宜 向 河滩 扩展!@#该 聚落 居住区 适宜 向 河滩 扩展!@#该 聚落 居住区 适宜 向 河滩 扩展!@#DT NN NN AD P NN VV!@#DT NN NN VV P NN VV!@#!@#!@#!@#!@#!@#!@#!@#( (IP (NP (NP (DP (DT 该)) (NP (NN 聚落))) (NP (NN 居住区))) (VP (ADVP (AD 适宜)) (PP (P 向) (NP (NN 河滩))) (VP (VV 扩展)))) )!@#!@#!@#!@#分布_0(该聚落居住区,向河滩扩展)!@#分布!@#0_4-6!@#0-6!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#
10-A!@#该图的制作与应用借助于	遥感技术获取道路网信息，测定监测点分布!@#y!@#该 图 的 制作 与 应用 借助 于 遥感技术 获取 道路网 信息 ， 测定 监测点 分布!@#该 图 的 制作 与 应用 借助 于 遥感 技术 获取 道路网 信息 ， 测定 监测点 分布!@#该 图 的 制作 与 应用 借助于 遥感技术 获取 道路网 信息 ， 测定 监测点 分布!@#该 图 的 制作 与 应用 借助于 遥感技术 获取 道路网 信息 ， 测定 监测点 分布!@#DT NN DEG NN CC NN VV P term VV NN NN PU VV NN NN!@#DT NN DEG NN CC NN VV P NN VV NN NN PU VV NN NN!@#!@#!@#!@#8!@#!@#!@#!@#( (IP (NP (DNP (NP (DP (DT 该)) (NP (NN 图))) (DEG 的)) (NP (NN 制作) (CC 与) (NN 应用))) (VP (VP (VV 借助) (NP (IP (VP (PP (P 于) (NP (NN 遥感技术))) (VP (VV 获取) (NP (NN 道路网))))) (NP (NN 信息)))) (PU ，) (VP (VV 测定) (NP (NN 监测点) (NN 分布))))) )!@#其他关联_0(该图的制作与应用,借助于,遥感技术获取道路网信息，测定监测点分布)!@#其他关联!@#!@#其他陈述_0(遥感技术,获取,道路网信息)其他陈述_1(遥感技术,测定,监测点分布)!@#其他陈述!@#!@#8-15!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#
10-A-0!@#该图的制作与应用借助于	遥感技术获取道路网信息!@#ed-ori!@#该 图 的 制作 与 应用 借助 于 遥感技术 获取 道路网 信息!@#该 图 的 制作 与 应用 借助 于 遥感 技术 获取 道路网 信息!@#该 图 的 制作 与 应用 借助于 遥感技术 获取 道路网 信息!@#该 图 的 制作 与 应用 借助于 遥感技术 获取 道路网 信息!@#DT NN DEG NN CC NN VV P term VV NN NN!@#DT NN DEG NN CC NN VV P NN VV NN NN!@#!@#!@#!@#8!@#!@#!@#!@#( (IP (NP (DNP (NP (DP (DT 该)) (NP (NN 图))) (DEG 的)) (NP (NN 制作) (CC 与) (NN 应用))) (VP (VV 借助) (NP (IP (VP (PP (P 于) (NP (NN 遥感技术))) (VP (VV 获取) (NP (NN 道路网))))) (NP (NN 信息))))) )!@#其他关联_0(该图的制作与应用,借助于,遥感技术获取道路网信息)!@#其他关联!@#!@#其他陈述_0(遥感技术,获取,道路网信息)!@#其他陈述!@#!@#8-11!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#
10-A-1!@#该图的制作与应用借助于	遥感技术测定监测点分布!@#ed-mod!@#该 图 的 制作 与 应用 借助 于 遥感技术 测定 监测点 分布!@#该 图 的 制作 与 应用 借助 于 遥感 技术 测定 监测点 分布!@#该 图 的 制作 与 应用 借助于 遥感技术 测定 监测点 分布!@#该 图 的 制作 与 应用 借助于 遥感技术 测定 监测点 分布!@#DT NN DEG NN CC NN VV P term VV NN NN!@#DT NN DEG NN CC NN VV P NN VV NN NN!@#!@#!@#!@#8!@#!@#!@#!@#( (IP (NP (DNP (NP (DP (DT 该)) (NP (NN 图))) (DEG 的)) (NP (NN 制作) (CC 与) (NN 应用))) (VP (VV 借助) (VP (PP (P 于) (NP (NN 遥感技术))) (VP (VV 测定) (NP (NN 监测点) (NN 分布)))))) )!@#其他关联_0(该图的制作与应用,借助于,遥感技术测定监测点分布)!@#其他关联!@#!@#其他陈述_0(遥感技术,测定,监测点分布)!@#其他陈述!@#!@#8-11!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#
10-B!@#该图的制作与应用借助于	全球定位系统确定事故的位置，预测交通流量!@#y!@#该 图 的 制作 与 应用 借助 于 全球定位系统 确定 事故 的 位置 ， 预测 交通 流量!@#该 图 的 制作 与 应用 借助 于 全球 定位 系统 确定 事故 的 位置 ， 预测 交通 流量!@#该 图 的 制作 与 应用 借助于 全球定位系统 确定 事故 的 位置 ， 预测 交通 流量!@#该 图 的 制作 与 应用 借助于 全球定位系统 确定 事故 的 位置 ， 预测 交通 流量!@#DT NN DEG NN CC NN VV P term VV NN DEG NN PU VV NN NN!@#DT NN DEG NN CC NN VV P NN VV NN DEG NN PU VV NN NN!@#!@#!@#!@#8!@#!@#!@#!@#( (IP (NP (DNP (NP (DP (DT 该)) (NP (NN 图))) (DEG 的)) (NP (NN 制作) (CC 与) (NN 应用))) (VP (VP (VV 借助) (NP (DNP (PP (P 于) (NP (CP (IP (NP (NN 全球定位系统)) (VP (VV 确定)))) (NP (NN 事故)))) (DEG 的)) (NP (NN 位置)))) (PU ，) (VP (VV 预测) (NP (NN 交通) (NN 流量))))) )!@#其他关联_0(该图的制作与应用,借助于,全球定位系统确定事故的位置，预测交通流量)!@#其他关联!@#!@#其他陈述_0(全球定位系统,确定,事故的位置)其他陈述_1(全球定位系统,预测,交通流量)!@#其他陈述!@#!@#8-16!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#
10-B-0!@#该图的制作与应用借助于	全球定位系统确定事故的位置!@#ed-ori!@#该 图 的 制作 与 应用 借助 于 全球定位系统 确定 事故 的 位置!@#该 图 的 制作 与 应用 借助 于 全球 定位 系统 确定 事故 的 位置!@#该 图 的 制作 与 应用 借助于 全球定位系统 确定 事故 的 位置!@#该 图 的 制作 与 应用 借助于 全球定位系统 确定 事故 的 位置!@#DT NN DEG NN CC NN VV P term VV NN DEG NN!@#DT NN DEG NN CC NN VV P NN VV NN DEG NN!@#!@#!@#!@#8!@#!@#!@#!@#( (IP (NP (DNP (NP (DP (DT 该)) (NP (NN 图))) (DEG 的)) (NP (NN 制作) (CC 与) (NN 应用))) (VP (VV 借助) (NP (DNP (PP (P 于) (NP (CP (IP (NP (NN 全球定位系统)) (VP (VV 确定)))) (NP (NN 事故)))) (DEG 的)) (NP (NN 位置))))) )!@#其他关联_0(该图的制作与应用,借助于,全球定位系统确定事故的位置)!@#其他关联!@#!@#其他陈述_0(全球定位系统,确定,事故的位置)!@#其他陈述!@#!@#8-12!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#
10-B-1!@#该图的制作与应用借助于	全球定位系统预测交通流量!@#ed-mod!@#该 图 的 制作 与 应用 借助 于 全球定位系统 预测 交通 流量!@#该 图 的 制作 与 应用 借助 于 全球 定位 系统 预测 交通 流量!@#该 图 的 制作 与 应用 借助于 全球定位系统 预测 交通 流量!@#该 图 的 制作 与 应用 借助于 全球定位系统 预测 交通 流量!@#DT NN DEG NN CC NN VV P term VV NN NN!@#DT NN DEG NN CC NN VV P NN VV NN NN!@#!@#!@#!@#8!@#8!@#!@#!@#( (IP (NP (DNP (NP (DP (DT 该)) (NP (NN 图))) (DEG 的)) (NP (NN 制作) (CC 与) (NN 应用))) (VP (VV 借助) (VP (PP (P 于) (NP (NN 全球定位系统))) (VP (VV 预测) (NP (NN 交通) (NN 流量)))))) )!@#其他关联_0(该图的制作与应用,借助于,全球定位系统预测交通流量)!@#其他关联!@#!@#其他陈述_0(全球定位系统,预测,交通流量)!@#其他陈述!@#!@#8-11!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#
10-C!@#该图的制作与应用借助于	地理信息系统查询事故频次，分析出警最优路径!@#y!@#该 图 的 制作 与 应用 借助 于 地理信息系统 查询 事故 频次 ， 分析 出警 最优 路径!@#该 图 的 制作 与 应用 借助 于 地理 信息 系统 查询 事故 频次 ， 分析 出警 最优 路径!@#该 图 的 制作 与 应用 借助于 地理信息系统 查询 事故 频次 ， 分析 出警 最优 路径!@#该 图 的 制作 与 应用 借助于 地理信息系统 查询 事故 频次 ， 分析 出警 最优 路径!@#DT NN DEG NN CC NN VV P term VV NN NN PU VV VV JJ NN!@#DT NN DEG NN CC NN VV P NN VV NN NN PU VV VV JJ NN!@#!@#!@#!@#8!@#!@#!@#!@#( (IP (NP (DNP (NP (DP (DT 该)) (NP (NN 图))) (DEG 的)) (NP (NN 制作) (CC 与) (NN 应用))) (VP (VP (VV 借助) (VP (PP (P 于) (NP (NN 地理信息系统))) (VP (VV 查询) (NP (NN 事故) (NN 频次))))) (PU ，) (VP (VV 分析) (VP (VV 出警) (NP (ADJP (JJ 最优)) (NP (NN 路径))))))) )!@#其他关联_0(该图的制作与应用,借助于,地理信息系统查询事故频次，分析出警最优路径)!@#其他关联!@#!@#其他陈述_0(地理信息系统,查询,事故频次)其他陈述_1(地理信息系统,分析,出警最优路径)!@#其他陈述!@#!@#8-16!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#
10-C-0!@#该图的制作与应用借助于	地理信息系统查询事故频次!@#ed-ori!@#该 图 的 制作 与 应用 借助 于 地理信息系统 查询 事故 频次!@#该 图 的 制作 与 应用 借助 于 地理 信息 系统 查询 事故 频次!@#该 图 的 制作 与 应用 借助于 地理信息系统 查询 事故 频次!@#该 图 的 制作 与 应用 借助于 地理信息系统 查询 事故 频次!@#DT NN DEG NN CC NN VV P term VV NN NN!@#DT NN DEG NN CC NN VV P NN VV NN NN!@#!@#!@#!@#8!@#!@#!@#!@#( (IP (NP (DNP (NP (DP (DT 该)) (NP (NN 图))) (DEG 的)) (NP (NN 制作) (CC 与) (NN 应用))) (VP (VV 借助) (VP (PP (P 于) (NP (NN 地理信息系统))) (VP (VV 查询) (NP (NN 事故) (NN 频次)))))) )!@#其他关联_0(该图的制作与应用,借助于,地理信息系统查询事故频次)!@#其他关联!@#!@#其他陈述_0(地理信息系统,查询,事故频次)!@#其他陈述!@#!@#8-11!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#
10-C-1!@#该图的制作与应用借助于	地理信息系统分析出警最优路径!@#ed-mod!@#该 图 的 制作 与 应用 借助 于 地理信息系统 分析 出警 最优 路径!@#该 图 的 制作 与 应用 借助 于 地理 信息 系统 分析 出警 最优 路径!@#该 图 的 制作 与 应用 借助于 地理信息系统 分析 出警 最优 路径!@#该 图 的 制作 与 应用 借助于 地理信息系统 分析 出警 最优 路径!@#DT NN DEG NN CC NN VV P term VV VV JJ NN!@#DT NN DEG NN CC NN VV P NN VV VV JJ NN!@#!@#!@#!@#8!@#!@#!@#!@#( (IP (NP (DNP (NP (DP (DT 该)) (NP (NN 图))) (DEG 的)) (NP (NN 制作) (CC 与) (NN 应用))) (VP (VV 借助) (VP (PP (P 于) (NP (NN 地理信息系统))) (VP (VP (VV 分析)) (VP (VV 出警) (NP (ADJP (JJ 最优)) (NP (NN 路径)))))))) )!@#其他关联_0(该图的制作与应用,借助于,地理信息系统分析出警最优路径)!@#其他关联!@#!@#其他陈述_0(地理信息系统,分析,出警最优路径)!@#其他陈述!@#!@#8-12!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#
10-D!@#该图的制作与应用借助于	数字地球技术，实现道路与监测点的互换!@#n!@#该 图 的 制作 与 应用 借助 于 数字地球技术 ， 实现 道路 与 监测点 的 互换!@#该 图 的 制作 与 应用 借助 于 数字 地球 技术 ， 实现 道路 与 监测点 的 互换!@#该 图 的 制作 与 应用 借助于 数字地球技术 ， 实现 道路 与 监测点 的 互换!@#该 图 的 制作 与 应用 借助于 数字地球技术 ， 实现 道路 与 监测点 的 互换!@#DT NN DEG NN CC NN VV P term PU VV NN CC NN DEG NN!@#DT NN DEG NN CC NN VV P NN PU VV NN CC NN DEG NN!@#!@#!@#!@#8!@#!@#!@#!@#( (IP (NP (DNP (NP (DP (DT 该)) (NP (NN 图))) (DEG 的)) (NP (NN 制作) (CC 与) (NN 应用))) (VP (VP (VV 借助) (PP (P 于) (NP (NN 数字地球技术)))) (PU ，) (VP (VV 实现) (NP (DNP (NP (NN 道路) (CC 与) (NN 监测点)) (DEG 的)) (NP (NN 互换)))))) )!@#其他关联_0(该图的制作与应用,借助于,数字地球技术，实现道路与监测点的互换)!@#其他关联!@#!@#其他陈述_0(数字地球技术,实现,道路与监测点的互换)!@#其他陈述!@#!@#8-15!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#
11-A!@#根据图中交通网络，可以推断该城区	甲地是城市中心商务区所在地!@#None!@#根据 图 中 交通 网络 ， 可以 推断 该 城区 甲地 是 城市 中心 商务区 所在地!@#根据 图 中 交通 网络 ， 可以 推断 该 城区 甲地 是 城市 中心 商务区 所在地!@#根据 图 中 交通 网络 ， 可以 推断 该 城区 甲地 是 城市 中心商务区 所在地!@#根据 图 中 交通 网络 ， 可以 推断 该 城区 甲地 是 城市 中心商务区 所在地!@#P NN LC NN NN PU VV VV DT NN NN VC NN NN NN NN!@#P NN LC NN NN PU VV VV DT NN NN VC NN NN NN NN!@#!@#!@#!@#!@#!@#!@#!@#( (IP (VP (PP (P 根据) (NP (LCP (NP (NN 图)) (LC 中)) (NP (NN 交通) (NN 网络)))) (PU ，) (VP (VV 可以) (VP (VV 推断) (IP (NP (DP (DT 该)) (NP (NN 城区) (NN 甲地))) (VP (VC 是) (NP (NP (NN 城市) (NN 中心) (NN 商务区)) (NP (NN 所在地))))))))) )!@#!@#!@#!@#指示_0(该城区甲地,城市中心商务区所在地)!@#指示!@#0_11!@#8-15!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#0 5-7!@#1-4
11-B!@#根据图中交通网络，可以推断该城区	乙地适宜建大型地面停车场!@#None!@#根据 图 中 交通 网络 ， 可以 推断 该 城区 乙地 适宜 建 大型 地面 停车场!@#根据 图 中 交通 网络 ， 可以 推断 该 城区 乙地 适宜 建 大型 地面 停车场!@#根据 图 中 交通 网络 ， 可以 推断 该 城区 乙地 适宜 建 大型 地面 停车场!@#根据 图 中 交通 网络 ， 可以 推断 该 城区 乙地 适宜 建 大型 地面 停车场!@#P NN LC NN NN PU VV VV DT NN NN AD VV JJ NN NN!@#P NN LC NN NN PU VV VV DT NN NN VV VV JJ NN NN!@#!@#!@#!@#!@#!@#!@#!@#( (IP (VP (PP (P 根据) (NP (LCP (NP (NN 图)) (LC 中)) (NP (NN 交通) (NN 网络)))) (PU ，) (VP (VV 可以) (VP (VP (VV 推断) (NP (NP (DP (DT 该)) (NP (NN 城区))) (NP (NN 乙地)))) (VP (ADVP (AD 适宜)) (VP (VV 建) (NP (NP (ADJP (JJ 大型)) (NP (NN 地面))) (NP (NN 停车场))))))))) )!@#!@#!@#!@#其他陈述_0(该城区乙地,适宜,建大型地面停车场)!@#其他陈述!@#!@#8-15!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#0 5-7!@#1-4
