编号!@#文本!@#拆分信息!@#（粗粒度）分词!@#（细粒度）分词!@#（auto粗粒度）分词!@#（auto细粒度）分词!@#词性!@#（auto）词性!@#时间!@#（auto）时间!@#地点!@#术语!@#（auto）地点!@#数量词!@#成分分析!@#（auto）成分分析!@#高阶模板!@#高阶模板类型!@#高阶模板线索词!@#二阶模板!@#二阶模板类型!@#二阶模板线索词!@#选项问句!@#（auto）高阶模板!@#（auto）二阶模板!@#（auto）高阶模板线索词!@#(auto)选项问句!@#（auto）二阶模板线索词!@#（auto）高阶模板类型!@#（auto）二阶模板类型!@#选项类别!@#题干前导类型!@#题干核心类型!@#题干核心动词!@#可删除的套话!@#上下文信息
1-A!@#图1中	帕斯位于Q地的西北方向!@#None!@#图1 中 帕斯 位于 Q地 的 西北 方向!@#图1 中 帕斯 位于 Q地 的 西北 方向!@#图1 中 帕斯 位于 Q地 的 西北 方向!@#图1 中 帕斯 位于 Q地 的 西北 方向!@#NN LC loc VV loc DEG NN NN!@#NN LC NR VV NN DEG NN NN!@#!@#!@#2 4!@#!@#4!@#!@#!@#( (IP (NP (LCP (NP (NN 图1)) (LC 中)) (NP (NR 帕斯))) (VP (VV 位于) (NP (DNP (NP (NR Q地)) (DEG 的)) (NP (NN 西北) (NN 方向))))) )!@#!@#!@#!@#其他陈述_0(帕斯,位于,Q地的西北方向)!@#其他陈述!@#!@#2-7!@#!@#!@#!@#!@#!@#!@#!@#含主语的句子!@#null!@#范围限定!@#!@#0-1!@#
6-B!@#据图6可知	宁夏平原云量大于日本北部!@#None!@#据 图6 可 知 宁夏平原 云量 大于 日本北部!@#据 图6 可 知 宁夏 平原 云量 大于 日本 北部!@#据 图6 可 知 宁夏 平原 云量 大于 日本 北部!@#据 图6 可 知 宁夏 平原 云量 大于 日本 北部!@#P NN VV VV loc NN VV loc!@#P NN VV VV NR NN VV NR!@#!@#!@#4 7!@#!@#!@#!@#!@#( (IP (VP (PP (P 据) (NP (NN 图6))) (VP (VV 可) (VP (VV 知) (IP (NP (NP (NR 宁夏平原)) (NP (NN 云量))) (VP (VV 大于) (NP (NR 日本北部)))))))) )!@#!@#!@#!@#比较_0(宁夏平原,云量,日本北部,云量,大于)!@#比较!@#0_6!@#4-7!@#!@#!@#!@#!@#!@#!@#!@#含主语的句子!@#!@#!@#!@#0-3!@#
6-C!@#据图6可知	东北平原风力小于四川盆地!@#None!@#据 图6 可 知 东北平原 风力 小于 四川盆地!@#据 图6 可 知 东北 平原 风力 小于 四川 盆地!@#据 图6 可 知 东北平原 风力 小于 四川盆地!@#据 图6 可 知 东北平原 风力 小于 四川盆地!@#P NN VV VV loc NN VV loc!@#P NN VV VV NR NN VV NR!@#!@#!@#4 7!@#!@#!@#!@#!@#( (IP (VP (PP (P 据) (IP (NP (NN 图6)) (VP (VV 可) (VP (VV 知) (NP (NP (NR 东北平原)) (NP (NN 风力))))))) (VP (VV 小于) (NP (NR 四川盆地))))) )!@#!@#!@#!@#比较_0(东北平原,风力,四川盆地,风力,小于)!@#比较!@#0_6!@#4-7!@#!@#!@#!@#!@#!@#!@#!@#含主语的句子!@#!@#!@#!@#0-3!@#
6-D!@#据图6可知	湘、赣北部及沪等地将降温!@#None!@#据 图6 可 知 湘、赣北部 及 沪 等 地 将 降温!@#据 图6 可 知 湘 、 赣 北部 及 沪 等 地 将 降温!@#据 图6 可 知 湘 、 赣 北部 及 沪 等 地 将 降温!@#据 图6 可 知 湘 、 赣 北部 及 沪 等 地 将 降温!@#P NN VV VV loc CC loc ETC NN AD VV!@#P NN VV VV NR CC NR ETC NN AD VV!@#!@#!@#4 6!@#!@#!@#!@#!@#( (PP (P 据) (IP (NP (NN 图6)) (VP (VV 可) (VP (VV 知) (IP (NP (NP (NR 湘、赣北部) (CC 及) (NR 沪) (ETC 等)) (NP (NN 地))) (VP (ADVP (AD 将)) (VP (VV 降温)))))))) )!@#!@#!@#!@#其他陈述_0(湘、赣北部及沪等地将降温)!@#其他陈述!@#!@#4-10!@#!@#!@#!@#!@#!@#!@#!@#含主语的句子!@#!@#!@#!@#0-3!@#
7-A!@#该地区	若布局合理，则主导风向为西南风!@#n!@#该 地区 若 布局 合理 ， 则 主导 风向 为 西南风!@#该 地区 若 布局 合理 ， 则 主导 风向 为 西南风!@#该 地区 若 布局 合理 ， 则 主导 风向 为 西南风!@#该 地区 若 布局 合理 ， 则 主导 风向 为 西南风!@#DT NN CS NN VA PU AD NN NN VC term!@#DT NN CS NN VA PU AD NN NN VC NN!@#!@#!@#!@#10!@#!@#!@#!@#( (IP (IP (NP (DP (DT 该)) (NP (NN 地区))) (ADVP (CS 若)) (NP (NN 布局)) (VP (VA 合理))) (PU ，) (ADVP (AD 则)) (NP (NN 主导) (NN 风向)) (VP (VC 为) (NP (NN 西南风)))) )!@#!@#!@#!@#因素关联_0(该地区若布局合理,主导风向为西南风)!@#因素关联!@#0_2-6!@#0-10!@#!@#!@#!@#!@#!@#!@#!@#自定义类别!@#null!@#名词短语(包括时间/地点短语)!@#!@#!@#
7-B!@#该地区	经济作物分布区可种植棉花、甘蔗!@#None!@#该 地区 经济 作物 分布区 可 种植 棉花 、 甘蔗!@#该 地区 经济 作物 分布区 可 种植 棉花 、 甘蔗!@#该 地区 经济 作物 分布区 可 种植 棉花 、 甘蔗!@#该 地区 经济 作物 分布区 可 种植 棉花 、 甘蔗!@#DT NN NN NN NN VV VV NN PU NN!@#DT NN NN NN NN VV VV NN PU NN!@#!@#!@#!@#!@#!@#!@#!@#( (IP (NP (NP (DP (DT 该)) (NP (NN 地区))) (NP (NN 经济) (NN 作物) (NN 分布区))) (VP (VV 可) (VP (VV 种植) (NP (NN 棉花) (PU 、) (NN 甘蔗))))) )!@#!@#!@#!@#其他陈述_0(该地区经济作物分布区,可种植,棉花、甘蔗)!@#其他陈述!@#!@#0-9!@#!@#!@#!@#!@#!@#!@#!@#含主语的句子!@#!@#!@#!@#!@#
7-C!@#该地区	河流存在明显的夏汛和凌汛现象!@#None!@#该 地区 河流 存在 明显 的 夏汛 和 凌汛 现象!@#该 地区 河流 存在 明显 的 夏汛 和 凌汛 现象!@#该 地区 河流 存在 明显 的 夏汛 和 凌汛 现象!@#该 地区 河流 存在 明显 的 夏汛 和 凌汛 现象!@#DT NN NN VV VA DEC term CC term NN!@#DT NN NN VV VA DEC NN CC NN NN!@#!@#!@#!@#6 8!@#!@#!@#!@#( (IP (NP (NP (DP (DT 该)) (NP (NN 地区))) (NP (NN 河流))) (VP (VV 存在) (NP (CP (IP (VP (VA 明显))) (DEC 的)) (NP (NN 夏汛) (CC 和) (NN 凌汛)) (NP (NN 现象))))) )!@#!@#!@#!@#其他陈述_0(该地区河流,存在,夏汛和凌汛现象)!@#其他陈述!@#!@#0-9!@#!@#!@#!@#!@#!@#!@#!@#含主语的句子!@#!@#!@#!@#!@#
7-D!@#该地区	环境因素对城市地域结构影响不大!@#None!@#该 地区 环境 因素 对 城市 地域 结构 影响 不 大!@#该 地区 环境 因素 对 城市 地域 结构 影响 不 大!@#该 地区 环境 因素 对 城市 地域 结构 影响 不 大!@#该 地区 环境 因素 对 城市 地域 结构 影响 不 大!@#DT NN NN NN P NN NN NN NN AD VA!@#DT NN NN NN P NN NN NN NN AD VA!@#!@#!@#!@#!@#!@#!@#!@#( (IP (NP (NP (DP (DT 该)) (NP (NN 地区))) (NP (NN 环境) (NN 因素))) (PP (P 对) (NP (NN 城市) (NN 地域) (NN 结构))) (NP (NN 影响)) (VP (ADVP (AD 不)) (VP (VA 大)))) )!@#!@#!@#!@#影响_0(环境因素,城市结构,#,不大)!@#影响!@#0_8!@#0-10!@#!@#!@#!@#!@#!@#!@#!@#含主语的句子!@#!@#!@#!@#!@#
8-①!@#为进一步提高城乡一体化发展水平，该地区还应	提升农民收入!@#None!@#为 进一步 提高 城乡 一体化 发展 水平 ， 该 地区 还 应 提升 农民 收入!@#为 进一步 提高 城乡 一体化 发展 水平 ， 该 地区 还 应 提升 农民 收入!@#为 进一步 提 高城乡 一体化 发展 水平 ， 该 地区 还 应 提升 农民 收入!@#为 进一步 提高 城乡 一体化 发展 水平 ， 该 地区 还 应 提升 农民 收入!@#P AD VV NN NN NN NN PU DT NN AD VV VV NN NN!@#P AD VV NN NN NN NN PU DT NN AD VV VV NN NN!@#!@#!@#!@#!@#!@#!@#!@#( (IP (PP (P 为) (IP (VP (ADVP (AD 进一步)) (VP (VV 提高) (NP (NN 城乡) (NN 一体化) (NN 发展) (NN 水平)))))) (PU ，) (NP (DP (DT 该)) (NP (NN 地区))) (VP (ADVP (AD 还)) (VP (VV 应) (VP (VV 提升) (NP (NN 农民) (NN 收入)))))) )!@#对策_0(进一步提高城乡一体化发展水平,提升农民收入)!@#对策!@#0_0!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#不含主语的句子（动词短语)!@#目的状语!@#名词短语(包括时间/地点短语)!@#!@#10!@#
8-②!@#为进一步提高城乡一体化发展水平，该地区还应	大力发展房地产建筑业!@#None!@#为 进一步 提高 城乡 一体化 发展 水平 ， 该 地区 还 应 大力 发展 房地产 建筑业!@#为 进一步 提高 城乡 一体化 发展 水平 ， 该 地区 还 应 大力 发展 房地产 建筑业!@#为 进一步 提 高城乡 一体化 发展 水平 ， 该 地区 还 应 大力 发展 房地产 建筑业!@#为 进一步 提高 城乡 一体化 发展 水平 ， 该 地区 还 应 大力 发展 房地产 建筑业!@#P AD VV NN NN NN NN PU DT NN AD VV AD VV NN NN!@#P AD VV NN NN NN NN PU DT NN AD VV AD VV NN NN!@#!@#!@#!@#!@#!@#!@#!@#( (IP (PP (P 为) (IP (VP (ADVP (AD 进一步)) (VP (VV 提高) (NP (NN 城乡) (NN 一体化) (NN 发展) (NN 水平)))))) (PU ，) (NP (DP (DT 该)) (NP (NN 地区))) (VP (ADVP (AD 还)) (VP (VV 应) (VP (ADVP (AD 大力)) (VP (VV 发展) (NP (NN 房地产) (NN 建筑业))))))) )!@#对策_0(进一步提高城乡一体化发展水平,大力发展房地产建筑业)!@#对策!@#0_0!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#不含主语的句子（动词短语)!@#!@#!@#!@#10!@#
8-③!@#为进一步提高城乡一体化发展水平，该地区还应	进一步改善农村生产生活条件中发展现代农业!@#None!@#为 进一步 提高 城乡 一体化 发展 水平 ， 该 地区 还 应 进一步 改善 农村 生产 生活 条件 中 发展 现代 农业!@#为 进一步 提高 城乡 一体化 发展 水平 ， 该 地区 还 应 进一步 改善 农村 生产 生活 条件 中 发展 现代 农业!@#为 进一步 提 高城乡 一体化 发展 水平 ， 该 地区 还 应 进一步 改善 农村 生产 生活 条件 中 发展 现代 农业!@#为 进一步 提高 城乡 一体化 发展 水平 ， 该 地区 还 应 进一步 改善 农村 生产 生活 条件 中 发展 现代 农业!@#P AD VV NN NN NN NN PU DT NN AD VV AD VV NN NN NN NN LC VV time NN!@#P AD VV NN NN NN NN PU DT NN AD VV AD VV NN NN NN NN LC VV NT NN!@#20!@#20!@#!@#!@#!@#!@#!@#( (IP (PP (P 为) (IP (VP (ADVP (AD 进一步)) (VP (VV 提高) (NP (NN 城乡) (NN 一体化) (NN 发展) (NN 水平)))))) (PU ，) (NP (DP (DT 该)) (NP (NN 地区))) (VP (ADVP (AD 还)) (VP (VV 应) (VP (ADVP (AD 进一步)) (VP (VV 改善) (NP (IP (LCP (NP (NN 农村) (NN 生产) (NN 生活) (NN 条件)) (LC 中)) (VP (VV 发展) (NP (NT 现代)))) (NP (NN 农业)))))))) )!@#对策_0(进一步提高城乡一体化发展水平,进一步改善农村生产生活条件中发展现代农业)!@#对策!@#0_0!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#不含主语的句子（动词短语)!@#!@#!@#!@#10!@#
8-⑤!@#为进一步提高城乡一体化发展水平，该地区还应	利用广阔土地发展工业制造业!@#None!@#为 进一步 提高 城乡 一体化 发展 水平 ， 该 地区 还 应 利用 广阔 土地 发展 工业 制造 业!@#为 进一步 提高 城乡 一体化 发展 水平 ， 该 地区 还 应 利用 广阔 土地 发展 工业 制造 业!@#为 进一步 提 高城乡 一体化 发展 水平 ， 该 地区 还 应 利用 广阔 土地 发展 工业 制 造业!@#为 进一步 提高 城乡 一体化 发展 水平 ， 该 地区 还 应 利用 广阔 土地 发展 工业 制造业!@#P AD VV NN NN NN NN PU DT NN AD VV VV JJ NN VV NN NN NN!@#P AD VV NN NN NN NN PU DT NN AD VV VV JJ NN VV NN NN NN!@#!@#!@#!@#!@#!@#!@#!@#( (IP (PP (P 为) (IP (VP (ADVP (AD 进一步)) (VP (VV 提高) (NP (NN 城乡) (NN 一体化) (NN 发展) (NN 水平)))))) (PU ，) (NP (DP (DT 该)) (NP (NN 地区))) (VP (ADVP (AD 还)) (VP (VV 应) (VP (VP (VV 利用) (NP (ADJP (JJ 广阔)) (NP (NN 土地)))) (VP (VV 发展) (NP (NP (NN 工业) (NN 制造)) (NP (NN 业)))))))) )!@#对策_0(进一步提高城乡一体化发展水平,利用广阔土地发展工业制造业)!@#对策!@#0_0!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#不含主语的句子（动词短语)!@#!@#!@#!@#10!@#
9-A!@#图8中	地势南部高北部低，东部高西部低!@#y!@#图8 中 地势 南部 高 北部 低 ， 东部 高 西部 低!@#图8 中 地势 南部 高 北部 低 ， 东部 高 西部 低!@#图8 中 地势 南 部 高北 部低 ， 东 部 高西部低!@#图8 中 地势 南 部高 北 部低 ， 东 部高 西 部低!@#NN LC NN NN VA NN VA PU NN VA NN VA!@#NN LC NN NN VA NN VA PU NN VA NN VA!@#!@#!@#!@#!@#10!@#!@#!@#( (IP (IP (LCP (NP (NN 图8)) (LC 中)) (IP (IP (NP (NN 地势) (NN 南部)) (VP (VA 高))) (IP (NP (NN 北部)) (VP (VA 低))))) (PU ，) (IP (NP (NN 东部)) (VP (VA 高))) (IP (NP (NN 西部)) (VP (VA 低)))) )!@#!@#!@#!@#其他陈述_0(图8中,地势,南部高北部低)其他陈述_1(图8中,地势,东部高西部低)!@#其他陈述!@#!@#0-11!@#!@#!@#!@#!@#!@#!@#!@#含主语的句子!@#null!@#范围限定!@#!@#!@#
9-A-0!@#图8中	地势南部高北部低!@#ed-ori!@#图8 中 地势 南部 高 北部 低!@#图8 中 地势 南部 高 北部 低!@#图8 中 地势 南 部 高北 部低!@#图8 中 地势 南 部高 北 部低!@#NN LC NN NN VA NN VA!@#NN LC NN NN VA NN VA!@#!@#!@#!@#!@#!@#!@#!@#( (IP (IP (LCP (NP (NN 图8)) (LC 中)) (NP (NN 地势) (NN 南部)) (VP (VA 高))) (NP (NN 北部)) (VP (VA 低))) )!@#!@#!@#!@#其他陈述_0(图8中,地势,南部高北部低)!@#其他陈述!@#!@#0-6!@#!@#!@#!@#!@#!@#!@#!@#含主语的句子!@#!@#!@#!@#!@#
9-A-1!@#图8中	地势东部高西部低!@#ed-mod!@#图8 中 地势 东部 高 西部 低!@#图8 中 地势 东部 高 西部 低!@#图8 中 地势 东 部 高西部低!@#图8 中 地势 东 部高 西 部低!@#NN LC NN NN VA NN VA!@#NN LC NN NN VA NN VA!@#!@#!@#!@#!@#5!@#!@#!@#( (IP (IP (LCP (NP (NN 图8)) (LC 中)) (NP (NN 地势) (NN 东部)) (VP (VA 高))) (NP (NN 西部)) (VP (VA 低))) )!@#!@#!@#!@#其他陈述_0(图8中,地势,东部高西部低)!@#其他陈述!@#!@#0-6!@#!@#!@#!@#!@#!@#!@#!@#含主语的句子!@#!@#!@#!@#!@#
9-B!@#图8中	植被由常绿硬叶林逐渐过渡到落叶阔叶林!@#None!@#图8 中 植被 由 常绿硬叶林 逐渐 过渡 到 落叶阔叶林!@#图8 中 植被 由 常绿 硬叶林 逐渐 过渡 到 落叶 阔叶林!@#图8 中 植被 由 常绿硬叶林 逐渐 过渡 到 落叶阔叶林!@#图8 中 植被 由 常绿硬叶林 逐渐 过渡 到 落叶阔叶林!@#NN LC NN P term AD VV VV term!@#NN LC NN P NN AD VV VV NN!@#!@#!@#!@#4 8!@#!@#!@#!@#( (IP (NP (LCP (NP (NN 图8)) (LC 中)) (NP (NN 植被))) (VP (PP (P 由) (NP (NN 常绿硬叶林))) (ADVP (AD 逐渐)) (VP (VRD (VV 过渡) (VV 到)) (NP (NN 落叶阔叶林))))) )!@#!@#!@#!@#变化_0(植被,#,常绿硬叶林逐渐过渡到落叶阔叶林)!@#变化!@#0_3-6-7!@#2-8!@#!@#!@#!@#!@#!@#!@#!@#含主语的句子!@#!@#!@#!@#!@#
9-C!@#图8中	甲地农业生产以季风水田农业为主!@#None!@#图8 中 甲地 农业 生产 以 季风水田农业 为 主!@#图8 中 甲地 农业 生产 以 季风 水田 农业 为 主!@#图8 中 甲地 农业 生产 以 季风水田农业 为主!@#图8 中 甲地 农业 生产 以 季风水田农业 为主!@#NN LC loc NN NN P term VV NN!@#NN LC NN NN NN P NN VV NN!@#!@#!@#2!@#6!@#!@#!@#!@#( (IP (NP (LCP (NP (NN 图8)) (LC 中)) (NP (NR 甲地)) (NP (NN 农业) (NN 生产))) (VP (PP (P 以) (NP (NN 季风水田农业))) (VP (VV 为) (NP (NN 主))))) )!@#!@#!@#!@#指示_0(甲地农业生产,季风水田农业)!@#指示!@#0_5-7-8!@#2-8!@#!@#!@#!@#!@#!@#!@#!@#含主语的句子!@#!@#!@#!@#0-1!@#
9-D!@#图8中	乙地承接自长三角转出产业的优势较明显!@#None!@#图8 中 乙地 承接 自 长三角 转出 产业 的 优势 较 明显!@#图8 中 乙地 承接 自 长三角 转出 产业 的 优势 较 明显!@#图8 中 乙地 承接 自 长三角 转出 产业 的 优势 较 明显!@#图8 中 乙地 承接 自 长三角 转出 产业 的 优势 较 明显!@#NN LC loc VV P loc NN NN DEG NN AD VA!@#NN LC NN VV P NR NN NN DEG NN AD VA!@#!@#!@#2 5!@#!@#!@#!@#!@#( (IP (IP (LCP (NP (NN 图8)) (LC 中)) (NP (NR 乙地)) (VP (VV 承接) (NP (DNP (PP (P 自) (NP (NP (NR 长三角) (NN 转出)) (NP (NN 产业)))) (DEG 的)) (NP (NN 优势))))) (VP (ADVP (AD 较)) (VP (VA 明显)))) )!@#!@#!@#!@#其他陈述_0(乙地承接自长三角转出产业的优势较明显)!@#其他陈述!@#!@#2-11!@#!@#!@#!@#!@#!@#!@#!@#含主语的句子!@#!@#!@#!@#0-1!@#
10-①!@#城市内涝的发生与城市“雨岛效应”密切相关。“雨岛效应”成因主要有	工地面硬化，地表径流下渗困难!@#y!@#城市 内涝 的 发生 与 城市 “ 雨岛效应 ” 密切 相关 。 “ 雨岛效应 ” 成因 主要 有 工地面 硬化 ， 地表径流 下渗 困难!@#城市 内涝 的 发生 与 城市 “ 雨岛 效应 ” 密切 相关 。 “ 雨岛 效应 ” 成因 主要 有 工地面 硬化 ， 地表 径流 下渗 困难!@#城市 内涝 的 发生 与 城市 “ 雨岛效应 ” 密切 相关 。 “ 雨岛效应 ” 成因 主要 有 工地面 硬化 ， 地表径流 下渗 困难!@#城市 内涝 的 发生 与 城市 “ 雨岛效应 ” 密切 相关 。 “ 雨岛效应 ” 成因 主要 有 工地面 硬化 ， 地表径流 下渗 困难!@#NN term DEG NN CC NN PU term PU AD VA PU PU term PU NN AD VE NN VV PU term VV VA!@#NN NN DEG NN CC NN PU NN PU AD VA PU PU NN PU NN AD VE NN VV PU NN VV VA!@#!@#!@#!@#1 7 13 21!@#!@#!@#!@#( (IP (IP (NP (NP (DNP (NP (NN 城市) (NN 内涝)) (DEG 的)) (NP (NN 发生))) (CC 与) (NP (NP (NN 城市)) (NP (PU “) (NN 雨岛效应) (PU ”)))) (VP (ADVP (AD 密切)) (VP (VA 相关)))) (PU 。) (IP (NP (NP (PU “) (NN 雨岛效应) (PU ”)) (NP (NN 成因))) (VP (ADVP (AD 主要)) (VP (VE 有) (IP (NP (NN 工地面)) (VP (VV 硬化)))))) (PU ，) (IP (NP (NN 地表径流)) (VP (VP (VV 下渗)) (VP (VA 困难))))) )!@#原因_0(“雨岛效应”,工地面硬化)原因_1(“雨岛效应”,地表径流下渗困难)!@#原因!@#0_15 1_15!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#名词短语序列(List<时间/地点/实体/其他>)!@#陈述句!@#动词短语!@#17!@#16!@#0-10
10-①-0!@#城市内涝的发生与城市“雨岛效应”密切相关。“雨岛效应”成因主要有	工地面硬化!@#ed-ori!@#城市 内涝 的 发生 与 城市 “ 雨岛效应 ” 密切 相关 。 “ 雨岛效应 ” 成因 主要 有 工地面 硬化!@#城市 内涝 的 发生 与 城市 “ 雨岛 效应 ” 密切 相关 。 “ 雨岛 效应 ” 成因 主要 有 工地面 硬化!@#城市 内涝 的 发生 与 城市 “ 雨岛效应 ” 密切 相关 。 “ 雨岛效应 ” 成因 主要 有 工地面 硬化!@#城市 内涝 的 发生 与 城市 “ 雨岛效应 ” 密切 相关 。 “ 雨岛效应 ” 成因 主要 有 工地面 硬化!@#NN term DEG NN CC NN PU term PU AD VA PU PU term PU NN AD VE NN VV!@#NN NN DEG NN CC NN PU NN PU AD VA PU PU NN PU NN AD VE NN VV!@#!@#!@#!@#1 7 13!@#!@#!@#!@#( (IP (IP (NP (NP (DNP (NP (NN 城市) (NN 内涝)) (DEG 的)) (NP (NN 发生))) (CC 与) (NP (NP (NN 城市)) (NP (PU “) (NN 雨岛效应) (PU ”)))) (VP (ADVP (AD 密切)) (VP (VA 相关)))) (PU 。) (IP (NP (NP (PU “) (NN 雨岛效应) (PU ”)) (NP (NN 成因))) (VP (ADVP (AD 主要)) (VP (VE 有) (IP (NP (NN 工地面)) (VP (VV 硬化))))))) )!@#原因_0(“雨岛效应”,工地面硬化)!@#原因!@#0_15!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#含主语的句子!@#!@#!@#!@#16!@#0-10
10-①-1!@#城市内涝的发生与城市“雨岛效应”密切相关。“雨岛效应”成因主要有	地表径流下渗困难!@#ed-ori!@#城市 内涝 的 发生 与 城市 “ 雨岛效应 ” 密切 相关 。 “ 雨岛效应 ” 成因 主要 有 地表径流 下渗 困难!@#城市 内涝 的 发生 与 城市 “ 雨岛 效应 ” 密切 相关 。 “ 雨岛 效应 ” 成因 主要 有 地表 径流 下渗 困难!@#城市 内涝 的 发生 与 城市 “ 雨岛效应 ” 密切 相关 。 “ 雨岛效应 ” 成因 主要 有 地表径流 下渗 困难!@#城市 内涝 的 发生 与 城市 “ 雨岛效应 ” 密切 相关 。 “ 雨岛效应 ” 成因 主要 有 地表径流 下渗 困难!@#NN term DEG NN CC NN PU term PU AD VA PU PU term PU NN AD VE term VV VA!@#NN NN DEG NN CC NN PU NN PU AD VA PU PU NN PU NN AD VE NN VV VA!@#!@#!@#!@#1 7 13 18!@#!@#!@#!@#( (IP (IP (NP (NP (DNP (NP (NN 城市) (NN 内涝)) (DEG 的)) (NP (NN 发生))) (CC 与) (NP (NP (NN 城市)) (NP (PU “) (NN 雨岛效应) (PU ”)))) (VP (ADVP (AD 密切)) (VP (VA 相关)))) (PU 。) (IP (NP (NP (PU “) (NN 雨岛效应) (PU ”)) (NP (NN 成因))) (VP (VP (ADVP (AD 主要)) (VP (VE 有) (IP (NP (NN 地表径流)) (VP (VV 下渗))))) (VP (VA 困难))))) )!@#原因_0(“雨岛效应”,地表径流下渗困难)!@#原因!@#0_15!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#含主语的句子!@#!@#!@#!@#16!@#0-10
10-②!@#城市内涝的发生与城市“雨岛效应”密切相关。“雨岛效应”成因主要有	城市“热岛效应”明显!@#None!@#城市 内涝 的 发生 与 城市 “ 雨岛效应 ” 密切 相关 。 “ 雨岛效应 ” 成因 主要 有 城市 “ 热岛效应 ” 明显!@#城市 内涝 的 发生 与 城市 “ 雨岛 效应 ” 密切 相关 。 “ 雨岛 效应 ” 成因 主要 有 城市 “ 热岛效应 ” 明显!@#城市 内涝 的 发生 与 城市 “ 雨岛效应 ” 密切 相关 。 “ 雨岛效应 ” 成因 主要 有 城市 “ 热岛效应 ” 明显!@#城市 内涝 的 发生 与 城市 “ 雨岛效应 ” 密切 相关 。 “ 雨岛效应 ” 成因 主要 有 城市 “ 热岛效应 ” 明显!@#NN term DEG NN CC NN PU term PU AD VA PU PU term PU NN AD VE NN PU term PU VA!@#NN NN DEG NN CC NN PU NN PU AD VA PU PU NN PU NN AD VE NN PU NN PU VA!@#!@#!@#!@#1 7 13 20!@#!@#!@#!@#( (IP (IP (NP (NP (DNP (NP (NN 城市) (NN 内涝)) (DEG 的)) (NP (NN 发生))) (CC 与) (NP (NP (NN 城市)) (NP (PU “) (NN 雨岛效应) (PU ”)))) (VP (ADVP (AD 密切)) (VP (VA 相关)))) (PU 。) (IP (NP (NP (PU “) (NN 雨岛效应) (PU ”)) (NP (NN 成因))) (VP (ADVP (AD 主要)) (VP (VE 有) (IP (NP (NP (NN 城市)) (NP (PU “) (NN 热岛效应) (PU ”))) (VP (VA 明显))))))) )!@#原因_0(“雨岛效应”,城市“热岛效应”明显)!@#原因!@#0_15!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#名词短语(时间/地点/实体/其他)!@#!@#!@#!@#16!@#0-10
10-③!@#城市内涝的发生与城市“雨岛效应”密切相关。“雨岛效应”成因主要有	城市化挤占湖泊河道，调蓄洪峰能力下降!@#y!@#城市 内涝 的 发生 与 城市 “ 雨岛效应 ” 密切 相关 。 “ 雨岛效应 ” 成因 主要 有 城市化 挤占 湖泊 河道 ， 调蓄 洪峰 能力 下降!@#城市 内涝 的 发生 与 城市 “ 雨岛 效应 ” 密切 相关 。 “ 雨岛 效应 ” 成因 主要 有 城市化 挤占 湖泊 河道 ， 调蓄 洪峰 能力 下降!@#城市 内涝 的 发生 与 城市 “ 雨岛效应 ” 密切 相关 。 “ 雨岛效应 ” 成因 主要 有 城市化 挤占 湖泊 河道 ， 调蓄 洪峰 能力 下降!@#城市 内涝 的 发生 与 城市 “ 雨岛效应 ” 密切 相关 。 “ 雨岛效应 ” 成因 主要 有 城市化 挤占 湖泊 河道 ， 调蓄 洪峰 能力 下降!@#NN term DEG NN CC NN PU term PU AD VA PU PU term PU NN AD VE NN VV NN NN PU VV NN NN VV!@#NN NN DEG NN CC NN PU NN PU AD VA PU PU NN PU NN AD VE NN VV NN NN PU VV NN NN VV!@#!@#!@#!@#1 7 13!@#!@#!@#!@#( (IP (IP (NP (NP (DNP (NP (NN 城市) (NN 内涝)) (DEG 的)) (NP (NN 发生))) (CC 与) (NP (NP (NN 城市)) (NP (PU “) (NN 雨岛效应) (PU ”)))) (VP (ADVP (AD 密切)) (VP (VA 相关)))) (PU 。) (IP (IP (NP (NP (PU “) (NN 雨岛效应) (PU ”)) (NP (NN 成因))) (VP (ADVP (AD 主要)) (VP (VE 有) (NP (IP (NP (NN 城市化)) (VP (VV 挤占))) (NP (NN 湖泊) (NN 河道)))))) (PU ，) (IP (NP (IP (VP (VV 调蓄) (NP (NN 洪峰)))) (NP (NN 能力))) (VP (VV 下降))))) )!@#原因_0(“雨岛效应”,城市化挤占湖泊河道)原因_1(“雨岛效应”,调蓄洪峰能力下降)!@#原因!@#0_15 1_15!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#含主语的句子!@#!@#!@#!@#16!@#0-10
