编号!@#文本!@#拆分信息!@#（粗粒度）分词!@#（细粒度）分词!@#（auto粗粒度）分词!@#（auto细粒度）分词!@#词性!@#（auto）词性!@#时间!@#（auto）时间!@#地点!@#术语!@#（auto）地点!@#数量词!@#成分分析!@#（auto）成分分析!@#高阶模板!@#高阶模板类型!@#高阶模板线索词!@#二阶模板!@#二阶模板类型!@#二阶模板线索词!@#选项问句!@#（auto）高阶模板!@#（auto）二阶模板!@#（auto）高阶模板线索词!@#(auto)选项问句!@#（auto）二阶模板线索词!@#（auto）高阶模板类型!@#（auto）二阶模板类型!@#选项类别!@#题干前导类型!@#题干核心类型!@#题干核心动词!@#可删除的套话!@#上下文信息
1-A!@#下列关于A、B两地大气状况的叙述，正确的是	气压：A地低于B地!@#None!@#下列 关于 A、B两地 大气 状况 的 叙述 ， 正确 的 是 气压 ： A地 低于 B地!@#下列 关于 A 、 B 两地 大气 状况 的 叙述 ， 正确 的 是 气压 ： A地 低于 B地!@#下列 关于 A 、 B 两 地 大气 状况 的 叙述 ， 正确 的 是 气压 ： A地 低于 B地!@#下列 关于 A 、 B 两 地 大气 状况 的 叙述 ， 正确 的 是 气压 ： A地 低于 B地!@#JJ P loc NN NN DEG NN PU VA DEC VC term PU loc VV loc!@#JJ P NN NN NN DEG NN PU VA DEC VC NN NT NN VV NN!@#!@#!@#2 13 15!@#11!@#!@#!@#!@#( (IP (IP (NP (ADJP (JJ 下列)) (DNP (PP (P 关于) (NP (NP (NR A、B两地) (NN 大气)) (NP (NN 状况)))) (DEG 的)) (NP (NN 叙述))) (PU ，) (NP (CP (IP (VP (VA 正确))) (DEC 的))) (VP (VC 是) (NP (NN 气压)))) (PU ：) (NP (NR A地)) (VP (VV 低于) (NP (NR B地)))) )!@#!@#!@#!@#比较_0(A地,气压,B地,气压,低)!@#比较!@#0_14!@#11-15!@#!@#!@#!@#!@#!@#!@#!@#含主语的句子!@#自定义类别!@#自定义类别!@#!@#0-1 5-10!@#2-4
6-②!@#控制上述省区空气中二氧化硫浓度的合理措施有	提高燃煤脱硫技术!@#None!@#控制 上述 省区 空气 中 二氧化硫 浓度 的 合理 措施 有 提高 燃煤 脱硫 技术!@#控制 上述 省区 空气 中 二氧化硫 浓度 的 合理 措施 有 提高 燃煤 脱硫 技术!@#控制 上述 省区 空气 中 二氧化硫 浓度 的 合理 措施 有 提高 燃煤 脱硫 技术!@#控制 上述 省区 空气 中 二氧化硫 浓度 的 合理 措施 有 提高 燃煤 脱硫 技术!@#VV JJ NN NN LC NN NN DEC JJ NN VE VV NN NN NN!@#VV JJ NN NN LC NN NN DEC JJ NN VE VV NN NN NN!@#!@#!@#!@#!@#!@#!@#!@#( (IP (NP (CP (IP (VP (VV 控制) (NP (NP (ADJP (JJ 上述)) (NP (NN 省区))) (LCP (NP (NN 空气)) (LC 中)) (NP (NN 二氧化硫) (NN 浓度))))) (DEC 的)) (ADJP (JJ 合理)) (NP (NN 措施))) (VP (VE 有) (NP (IP (VP (VV 提高) (NP (NN 燃煤) (NN 脱硫)))) (NP (NN 技术))))) )!@#对策_0(上述省区空气中二氧化硫浓度,控制,提高燃煤脱硫技术)!@#对策!@#0_9!@#其他陈述_0(,,)!@#其他陈述!@#!@#11-14!@#!@#!@#!@#!@#!@#!@#!@#不含主语的句子（动词短语)!@#!@#!@#!@#8!@#
6-③!@#控制上述省区空气中二氧化硫浓度的合理措施有	改变较单一的能源消费结构!@#None!@#控制 上述 省区 空气 中 二氧化硫 浓度 的 合理 措施 有 改变 较 单一 的 能源 消费 结构!@#控制 上述 省区 空气 中 二氧化硫 浓度 的 合理 措施 有 改变 较 单一 的 能源 消费 结构!@#控制 上述 省区 空气 中 二氧化硫 浓度 的 合理 措施 有 改变 较 单一 的 能源 消费 结构!@#控制 上述 省区 空气 中 二氧化硫 浓度 的 合理 措施 有 改变 较 单一 的 能源 消费 结构!@#VV JJ NN NN LC NN NN DEC JJ NN VE NN AD VA DEC NN NN NN!@#VV JJ NN NN LC NN NN DEC JJ NN VE NN AD VA DEC NN NN NN!@#!@#!@#!@#!@#!@#!@#!@#( (IP (NP (CP (IP (VP (VV 控制) (NP (NP (ADJP (JJ 上述)) (NP (NN 省区))) (LCP (NP (NN 空气)) (LC 中)) (NP (NN 二氧化硫) (NN 浓度))))) (DEC 的)) (ADJP (JJ 合理)) (NP (NN 措施))) (VP (VE 有) (NP (CP (IP (NP (NN 改变)) (VP (ADVP (AD 较)) (VP (VA 单一)))) (DEC 的)) (NP (NN 能源) (NN 消费) (NN 结构))))) )!@#对策_0(上述省区空气中二氧化硫浓度,控制,改变较单一的能源消费结构)!@#对策!@#0_9!@#其他陈述_0(,,)!@#其他陈述!@#!@#11-17!@#!@#!@#!@#!@#!@#!@#!@#不含主语的句子（动词短语)!@#!@#!@#!@#8!@#
6-④!@#控制上述省区空气中二氧化硫浓度的合理措施有	调整产业结构，实施总量控制与达标排放!@#y!@#控制 上述 省区 空气 中 二氧化硫 浓度 的 合理 措施 有 调整 产业 结构 ， 实施 总量 控制 与 达标 排放!@#控制 上述 省区 空气 中 二氧化硫 浓度 的 合理 措施 有 调整 产业 结构 ， 实施 总量 控制 与 达标 排放!@#控制 上述 省区 空气 中 二氧化硫 浓度 的 合理 措施 有 调整 产业 结构 ， 实施 总量 控制 与 达标 排放!@#控制 上述 省区 空气 中 二氧化硫 浓度 的 合理 措施 有 调整 产业 结构 ， 实施 总量 控制 与 达标 排放!@#VV JJ NN NN LC NN NN DEC JJ NN VE VV NN NN PU VV NN NN CC NN NN!@#VV JJ NN NN LC NN NN DEC JJ NN VE VV NN NN PU VV NN NN CC NN NN!@#!@#!@#!@#!@#!@#!@#!@#( (IP (NP (CP (IP (VP (VV 控制) (NP (NP (ADJP (JJ 上述)) (NP (NN 省区))) (LCP (NP (NN 空气)) (LC 中)) (NP (NN 二氧化硫) (NN 浓度))))) (DEC 的)) (ADJP (JJ 合理)) (NP (NN 措施))) (VP (VP (VE 有) (VP (VV 调整) (NP (NN 产业) (NN 结构)))) (PU ，) (VP (VV 实施) (NP (NP (NN 总量) (NN 控制)) (CC 与) (NP (NN 达标) (NN 排放)))))) )!@#对策_0(上述省区空气中二氧化硫浓度,控制,调整产业结构，实施总量控制与达标排放)!@#对策!@#0_9!@#其他陈述_0(调整产业结构)其他陈述_1(实施总量控制与达标排放)!@#其他陈述!@#!@#11-20!@#!@#!@#!@#!@#!@#!@#!@#自定义类别!@#!@#!@#!@#8!@#
6-④-0!@#控制上述省区空气中二氧化硫浓度的合理措施有	调整产业结构!@#ed-ori!@#控制 上述 省区 空气 中 二氧化硫 浓度 的 合理 措施 有 调整 产业 结构!@#控制 上述 省区 空气 中 二氧化硫 浓度 的 合理 措施 有 调整 产业 结构!@#控制 上述 省区 空气 中 二氧化硫 浓度 的 合理 措施 有 调整 产业 结构!@#控制 上述 省区 空气 中 二氧化硫 浓度 的 合理 措施 有 调整 产业 结构!@#VV JJ NN NN LC VV NN DEC JJ NN VE VV NN NN!@#VV JJ NN NN LC NN NN DEC JJ NN VE VV NN NN!@#!@#!@#!@#!@#!@#!@#!@#( (IP (VP (VV 控制) (NP (CP (IP (NP (ADJP (JJ 上述)) (NP (NN 省区))) (VP (LCP (NP (NN 空气)) (LC 中)) (VP (VV 二氧化硫) (NP (NN 浓度))))) (DEC 的)) (ADJP (JJ 合理)) (NP (NN 措施))) (IP (VP (VP (VE 有)) (VP (VV 调整) (NP (NN 产业) (NN 结构))))))) )!@#对策_0(上述省区空气中二氧化硫浓度,控制,调整产业结构)!@#对策!@#0_9!@#其他陈述_0(调整产业结构)!@#其他陈述!@#!@#11-13!@#!@#!@#!@#!@#!@#!@#!@#不含主语的句子（动词短语)!@#!@#!@#!@#8!@#
6-④-1!@#控制上述省区空气中二氧化硫浓度的合理措施有	实施总量控制与达标排放!@#ed-ori!@#控制 上述 省区 空气 中 二氧化硫 浓度 的 合理 措施 有 实施 总量 控制 与 达标 排放!@#控制 上述 省区 空气 中 二氧化硫 浓度 的 合理 措施 有 实施 总量 控制 与 达标 排放!@#控制 上述 省区 空气 中 二氧化硫 浓度 的 合理 措施 有 实施 总量 控制 与 达标 排放!@#控制 上述 省区 空气 中 二氧化硫 浓度 的 合理 措施 有 实施 总量 控制 与 达标 排放!@#VV JJ NN NN LC VV NN DEC JJ NN VE VV NN NN CC NN NN!@#VV JJ NN NN LC NN NN DEC JJ NN VE VV NN NN CC NN NN!@#!@#!@#!@#!@#!@#!@#!@#( (IP (VP (VV 控制) (NP (CP (IP (NP (ADJP (JJ 上述)) (NP (NN 省区))) (VP (LCP (NP (NN 空气)) (LC 中)) (VP (VV 二氧化硫) (NP (NN 浓度))))) (DEC 的)) (ADJP (JJ 合理)) (NP (NN 措施))) (IP (VP (VP (VE 有)) (VP (VV 实施) (NP (NP (NN 总量) (NN 控制)) (CC 与) (NP (NN 达标) (NN 排放)))))))) )!@#对策_0(上述省区空气中二氧化硫浓度,控制,实施总量控制与达标排放)!@#对策!@#0_9!@#其他陈述_0(实施总量控制与达标排放)!@#其他陈述!@#!@#11-16!@#!@#!@#!@#!@#!@#!@#!@#不含主语的句子（动词短语)!@#!@#!@#!@#8!@#
6-⑤!@#控制上述省区空气中二氧化硫浓度的合理措施有	扩大城区水域面积，形成环城水系!@#y!@#控制 上述 省区 空气 中 二氧化硫 浓度 的 合理 措施 有 扩大 城区 水域 面积 ， 形成 环城 水系!@#控制 上述 省区 空气 中 二氧化硫 浓度 的 合理 措施 有 扩大 城区 水域 面积 ， 形成 环城 水系!@#控制 上述 省区 空气 中 二氧化硫 浓度 的 合理 措施 有 扩大 城区 水域 面积 ， 形成 环城 水系!@#控制 上述 省区 空气 中 二氧化硫 浓度 的 合理 措施 有 扩大 城区 水域 面积 ， 形成 环城 水系!@#VV JJ NN NN LC VV NN DEC JJ NN VE VV NN NN NN PU VV NN NN!@#VV JJ NN NN LC NN NN DEC JJ NN VE VV NN NN NN PU VV NN NN!@#!@#!@#!@#!@#!@#!@#!@#( (IP (NP (CP (IP (VP (LCP (NP (CP (IP (VP (VV 控制) (NP (ADJP (JJ 上述)) (NP (NN 省区)))))) (NP (NN 空气))) (LC 中)) (VP (VV 二氧化硫) (NP (NN 浓度))))) (DEC 的)) (ADJP (JJ 合理)) (NP (NN 措施))) (VP (VP (VE 有) (VP (VV 扩大) (NP (NN 城区) (NN 水域) (NN 面积)))) (PU ，) (VP (VV 形成) (NP (NN 环城) (NN 水系))))) )!@#对策_0(上述省区空气中二氧化硫浓度,控制,扩大城区水域面积，形成环城水系)!@#对策!@#0_9!@#其他陈述_0(扩大城区水域面积)其他陈述_1(形成环城水系)!@#其他陈述!@#!@#11-18!@#!@#!@#!@#!@#!@#!@#!@#自定义类别!@#!@#!@#!@#8!@#
6-⑤-0!@#控制上述省区空气中二氧化硫浓度的合理措施有	扩大城区水域面积!@#ed-ori!@#控制 上述 省区 空气 中 二氧化硫 浓度 的 合理 措施 有 扩大 城区 水域 面积!@#控制 上述 省区 空气 中 二氧化硫 浓度 的 合理 措施 有 扩大 城区 水域 面积!@#控制 上述 省区 空气 中 二氧化硫 浓度 的 合理 措施 有 扩大 城区 水域 面积!@#控制 上述 省区 空气 中 二氧化硫 浓度 的 合理 措施 有 扩大 城区 水域 面积!@#VV JJ NN NN LC VV NN DEC JJ NN VE VV NN NN NN!@#VV JJ NN NN LC NN NN DEC JJ NN VE VV NN NN NN!@#!@#!@#!@#!@#!@#!@#!@#( (IP (VP (VV 控制) (NP (CP (IP (NP (ADJP (JJ 上述)) (NP (NN 省区))) (VP (LCP (NP (NN 空气)) (LC 中)) (VP (VV 二氧化硫) (NP (NN 浓度))))) (DEC 的)) (ADJP (JJ 合理)) (NP (NN 措施))) (IP (VP (VP (VE 有)) (VP (VV 扩大) (NP (NN 城区) (NN 水域) (NN 面积))))))) )!@#对策_0(上述省区空气中二氧化硫浓度,控制,扩大城区水域面积)!@#对策!@#0_9!@#其他陈述_0(扩大城区水域面积)!@#其他陈述!@#!@#11-14!@#!@#!@#!@#!@#!@#!@#!@#不含主语的句子（动词短语)!@#!@#!@#!@#8!@#
6-⑤-1!@#控制上述省区空气中二氧化硫浓度的合理措施有	形成环城水系!@#ed-ori!@#控制 上述 省区 空气 中 二氧化硫 浓度 的 合理 措施 有 形成 环城 水系!@#控制 上述 省区 空气 中 二氧化硫 浓度 的 合理 措施 有 形成 环城 水系!@#控制 上述 省区 空气 中 二氧化硫 浓度 的 合理 措施 有 形成 环城 水系!@#控制 上述 省区 空气 中 二氧化硫 浓度 的 合理 措施 有 形成 环城 水系!@#VV JJ NN NN LC VV NN DEC JJ NN VE VV NN NN!@#VV JJ NN NN LC NN NN DEC JJ NN VE VV NN NN!@#!@#!@#!@#!@#!@#!@#!@#( (IP (VP (VV 控制) (NP (CP (IP (NP (ADJP (JJ 上述)) (NP (NN 省区))) (VP (LCP (NP (NN 空气)) (LC 中)) (VP (VV 二氧化硫) (NP (NN 浓度))))) (DEC 的)) (ADJP (JJ 合理)) (NP (NN 措施))) (IP (VP (VE 有) (IP (VP (VV 形成) (NP (NN 环城) (NN 水系)))))))) )!@#对策_0(上述省区空气中二氧化硫浓度,控制,扩大城区水域面积，形成环城水系)!@#对策!@#0_9!@#其他陈述_0(形成环城水系)!@#其他陈述!@#!@#11-13!@#!@#!@#!@#!@#!@#!@#!@#不含主语的句子（动词短语)!@#!@#!@#!@#8!@#
7-A!@#①②③三地小麦品种不同的主要原因是	生产习惯的差异!@#None!@#①②③三地 小麦 品种 不同 的 主要 原因 是 生产 习惯 的 差异!@#① ② ③ 三地 小麦 品种 不同 的 主要 原因 是 生产 习惯 的 差异!@#① ② ③ 三 地 小麦 品种 不同 的 主要 原因 是 生产 习惯 的 差异!@#① ② ③ 三 地 小麦 品种 不同 的 主要 原因 是 生产 习惯 的 差异!@#loc NN NN VA DEC JJ NN VC NN NN DEG NN!@#NR NN NN VA DEC JJ NN VC NN NN DEG NN!@#!@#!@#0!@#!@#!@#!@#!@#( (IP (NP (NP (NR ①②③三地)) (NP (NN 小麦) (NN 品种))) (NP (CP (IP (VP (VA 不同))) (DEC 的)) (ADJP (JJ 主要)) (NP (NN 原因))) (VP (VC 是) (NP (DNP (NP (NN 生产) (NN 习惯)) (DEG 的)) (NP (NN 差异))))) )!@#原因_0(①②③三地小麦品种不同,生产习惯的差异)!@#原因!@#0_4-6-7!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#名词短语(时间/地点/实体/其他)!@#null!@#名词短语+动词短语!@#7!@#5!@#
7-B!@#①②③三地小麦品种不同的主要原因是	国家政策的差异!@#None!@#①②③三地 小麦 品种 不同 的 主要 原因 是 国家 政策 的 差异!@#① ② ③ 三地 小麦 品种 不同 的 主要 原因 是 国家 政策 的 差异!@#① ② ③ 三 地 小麦 品种 不同 的 主要 原因 是 国家 政策 的 差异!@#① ② ③ 三 地 小麦 品种 不同 的 主要 原因 是 国家 政策 的 差异!@#loc NN NN VA DEC JJ NN VC NN NN DEG NN!@#NR NN NN VA DEC JJ NN VC NN NN DEG NN!@#!@#!@#0!@#!@#!@#!@#!@#( (IP (NP (NP (NR ①②③三地)) (NP (NN 小麦) (NN 品种))) (NP (CP (IP (VP (VA 不同))) (DEC 的)) (ADJP (JJ 主要)) (NP (NN 原因))) (VP (VC 是) (NP (DNP (NP (NN 国家) (NN 政策)) (DEG 的)) (NP (NN 差异))))) )!@#原因_0(①②③三地小麦品种不同,国家政策的差异)!@#原因!@#0_4-6-7!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#名词短语(时间/地点/实体/其他)!@#!@#!@#!@#5!@#
7-C!@#①②③三地小麦品种不同的主要原因是	地形地势的差异!@#None!@#①②③三地 小麦 品种 不同 的 主要 原因 是 地形 地势 的 差异!@#① ② ③ 三地 小麦 品种 不同 的 主要 原因 是 地形 地势 的 差异!@#① ② ③ 三 地 小麦 品种 不同 的 主要 原因 是 地形 地势 的 差异!@#① ② ③ 三 地 小麦 品种 不同 的 主要 原因 是 地形 地势 的 差异!@#loc NN NN VA DEC JJ NN VC NN NN DEG NN!@#NR NN NN VA DEC JJ NN VC NN NN DEG NN!@#!@#!@#0!@#!@#!@#!@#!@#( (IP (NP (NP (NR ①②③三地)) (NP (NN 小麦) (NN 品种))) (NP (CP (IP (VP (VA 不同))) (DEC 的)) (ADJP (JJ 主要)) (NP (NN 原因))) (VP (VC 是) (NP (DNP (NP (NN 地形) (NN 地势)) (DEG 的)) (NP (NN 差异))))) )!@#原因_0(①②③三地小麦品种不同,地形地势的差异)!@#原因!@#0_4-6-7!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#名词短语(时间/地点/实体/其他)!@#!@#!@#!@#5!@#
7-D!@#①②③三地小麦品种不同的主要原因是	热量条件的差异!@#None!@#①②③三地 小麦 品种 不同 的 主要 原因 是 热量 条件 的 差异!@#① ② ③ 三地 小麦 品种 不同 的 主要 原因 是 热量 条件 的 差异!@#① ② ③ 三 地 小麦 品种 不同 的 主要 原因 是 热量 条件 的 差异!@#① ② ③ 三 地 小麦 品种 不同 的 主要 原因 是 热量 条件 的 差异!@#loc NN NN VA DEC JJ NN VC NN NN DEG NN!@#NR NN NN VA DEC JJ NN VC NN NN DEG NN!@#!@#!@#0!@#!@#!@#!@#!@#( (IP (NP (NP (NR ①②③三地)) (NP (NN 小麦) (NN 品种))) (NP (CP (IP (VP (VA 不同))) (DEC 的)) (ADJP (JJ 主要)) (NP (NN 原因))) (VP (VC 是) (NP (DNP (NP (NN 热量) (NN 条件)) (DEG 的)) (NP (NN 差异))))) )!@#原因_0(①②③三地小麦品种不同,热量条件的差异)!@#原因!@#0_4-6-7!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#名词短语(时间/地点/实体/其他)!@#!@#!@#!@#5!@#
8-A!@#下列有关③④两地小麦生产的叙述，正确的是	两地小麦的播种时间大致相同!@#None!@#下列 有关 ③④两地 小麦 生产 的 叙述 ， 正确 的 是 两 地 小麦 的 播种 时间 大致 相同!@#下列 有关 ③ ④ 两地 小麦 生产 的 叙述 ， 正确 的 是 两 地 小麦 的 播种 时间 大致 相同!@#下列 有关 ③ ④ 两 地 小麦 生产 的 叙述 ， 正确 的 是 两 地 小麦 的 播种 时间 大致 相同!@#下列 有关 ③ ④ 两 地 小麦 生产 的 叙述 ， 正确 的 是 两 地 小麦 的 播种 时间 大致 相同!@#JJ P loc NN NN DEG NN PU VA DEC VC CD NN NN DEG NN NN AD VA!@#JJ JJ NN NN NN DEG NN PU VA DEC VC CD NN NN DEG NN NN AD VA!@#!@#!@#2!@#!@#!@#!@#!@#( (IP (NP (ADJP (JJ 下列)) (DNP (PP (P 有关) (NP (NP (NR ③④两地) (NN 小麦)) (NP (NN 生产)))) (DEG 的)) (NP (NN 叙述))) (PU ，) (NP (CP (IP (VP (VA 正确))) (DEC 的))) (VP (VC 是) (IP (NP (DNP (NP (NP (QP (CD 两)) (NP (NN 地))) (NP (NN 小麦))) (DEG 的)) (NP (NN 播种) (NN 时间))) (VP (ADVP (AD 大致)) (VP (VA 相同)))))) )!@#!@#!@#!@#其他陈述_0(,,)!@#其他陈述!@#!@#11-18!@#!@#!@#!@#!@#!@#!@#!@#含主语的句子!@#自定义类别!@#自定义类别!@#!@#0-1 5-10 17!@#2-4
8-B!@#下列有关③④两地小麦生产的叙述，正确的是	仅从气候角度考虑，④地小麦的千粒重较③地大!@#n!@#下列 有关 ③④两地 小麦 生产 的 叙述 ， 正确 的 是 仅 从 气候 角度 考虑 ， ④地 小麦 的 千粒重 较 ③地 大!@#下列 有关 ③ ④ 两地 小麦 生产 的 叙述 ， 正确 的 是 仅 从 气候 角度 考虑 ， ④地 小麦 的 千粒重 较 ③地 大!@#下列 有关 ③ ④ 两 地 小麦 生产 的 叙述 ， 正确 的 是 仅 从 气候 角度 考虑 ， ④地 小麦 的 千粒重 较 ③地 大!@#下列 有关 ③ ④ 两 地 小麦 生产 的 叙述 ， 正确 的 是 仅 从 气候 角度 考虑 ， ④地 小麦 的 千粒重 较 ③地 大!@#JJ P loc NN NN DEG NN PU VA DEC VC AD P NN NN VV PU loc NN DEG NN P loc VA!@#JJ JJ NN NN NN DEG NN PU VA DEC VC AD P NN NN VV PU NN NN DEG NN P NN VA!@#!@#17 22!@#2 17 22!@#!@#!@#!@#!@#( (IP (NP (ADJP (JJ 下列)) (DNP (PP (P 有关) (NP (NP (NR ③④两地) (NN 小麦)) (NP (NN 生产)))) (DEG 的)) (NP (NN 叙述))) (PU ，) (NP (CP (IP (VP (VA 正确))) (DEC 的))) (VP (VC 是) (IP (ADVP (AD 仅)) (IP (VP (PP (P 从) (NP (NN 气候) (NN 角度))) (VP (VV 考虑)))) (PU ，) (NP (DNP (NP (NP (NR ④地)) (NP (NN 小麦))) (DEG 的)) (NP (NN 千粒重))) (VP (PP (P 较) (NP (NR ③地))) (VP (VA 大)))))) )!@#!@#!@#!@#比较_0(④地,小麦的千粒重,③地,小麦的千粒重,大)!@#比较!@#0_21-23!@#11-23!@#!@#!@#!@#!@#!@#!@#!@#含主语的句子!@#!@#!@#!@#0-1 5-10!@#2-4
8-C!@#下列有关③④两地小麦生产的叙述，正确的是	两地小麦都分布在河谷地区!@#None!@#下列 有关 ③④两地 小麦 生产 的 叙述 ， 正确 的 是 两 地 小麦 都 分布 在 河谷 地区!@#下列 有关 ③ ④ 两地 小麦 生产 的 叙述 ， 正确 的 是 两 地 小麦 都 分布 在 河谷 地区!@#下列 有关 ③ ④ 两 地 小麦 生产 的 叙述 ， 正确 的 是 两 地 小麦 都 分布 在 河谷 地区!@#下列 有关 ③ ④ 两 地 小麦 生产 的 叙述 ， 正确 的 是 两 地 小麦 都 分布 在 河谷 地区!@#JJ P loc NN NN DEG NN PU VA DEC VC CD NN NN AD VV P NN NN!@#JJ JJ NN NN NN DEG NN PU VA DEC VC CD NN NN AD VV P NN NN!@#!@#!@#2!@#!@#!@#!@#!@#( (IP (NP (ADJP (JJ 下列)) (DNP (PP (P 有关) (NP (NP (NR ③④两地) (NN 小麦)) (NP (NN 生产)))) (DEG 的)) (NP (NN 叙述))) (PU ，) (NP (CP (IP (VP (VA 正确))) (DEC 的))) (VP (VC 是) (IP (NP (NP (QP (CD 两)) (NP (NN 地))) (NP (NN 小麦))) (VP (ADVP (AD 都)) (VP (VV 分布) (PP (P 在) (NP (NN 河谷) (NN 地区)))))))) )!@#!@#!@#!@#分布_0(两地小麦,河谷地区)!@#分布!@#0_15!@#11-18!@#!@#!@#!@#!@#!@#!@#!@#含主语的句子!@#!@#!@#!@#0-1 5-10!@#2-4
8-D!@#下列有关③④两地小麦生产的叙述，正确的是	小麦是两地最主要的粮食作物!@#None!@#下列 有关 ③④两地 小麦 生产 的 叙述 ， 正确 的 是 小麦 是 两地 最 主要 的 粮食 作物!@#下列 有关 ③ ④ 两地 小麦 生产 的 叙述 ， 正确 的 是 小麦 是 两地 最 主要 的 粮食 作物!@#下列 有关 ③ ④ 两 地 小麦 生产 的 叙述 ， 正确 的 是 小麦 是 两 地 最 主要 的 粮食 作物!@#下列 有关 ③ ④ 两 地 小麦 生产 的 叙述 ， 正确 的 是 小麦 是 两 地 最 主要 的 粮食 作物!@#JJ P loc NN NN DEG NN PU VA DEC VC NN VC NN AD VA DEC NN NN!@#JJ JJ NN NN NN DEG NN PU VA DEC VC NN VC NN AD VA DEC NN NN!@#!@#!@#2!@#!@#!@#!@#!@#( (IP (NP (ADJP (JJ 下列)) (DNP (PP (P 有关) (NP (NP (NR ③④两地) (NN 小麦)) (NP (NN 生产)))) (DEG 的)) (NP (NN 叙述))) (PU ，) (NP (CP (IP (VP (VA 正确))) (DEC 的))) (VP (VC 是) (IP (NP (NN 小麦)) (VP (VC 是) (NP (CP (IP (NP (NN 两地)) (VP (ADVP (AD 最)) (VP (VA 主要)))) (DEC 的)) (NP (NN 粮食) (NN 作物))))))) )!@#!@#!@#!@#指示_0(小麦,两地最主要的粮食作物)!@#指示!@#0_12!@#11-18!@#!@#!@#!@#!@#!@#!@#!@#含主语的句子!@#!@#!@#!@#0-1 5-10!@#2-4
9-A!@#②地种植小麦的不利自然条件不包括	旱涝灾害频发!@#None!@#②地 种植 小麦 的 不利 自然 条件 不 包括 旱涝 灾害 频发!@#②地 种植 小麦 的 不利 自然 条件 不 包括 旱涝 灾害 频发!@#②地 种植 小麦 的 不利 自然 条件 不 包括 旱涝 灾害 频发!@#②地 种植 小麦 的 不利 自然 条件 不 包括 旱涝 灾害 频发!@#loc VV NN DEC JJ NN NN AD VV term NN VV!@#NN VV NN DEC JJ NN NN AD VV NN NN VV!@#!@#0!@#0!@#9!@#!@#!@#!@#( (IP (NP (NP (NR ②地)) (CP (IP (VP (VV 种植) (NP (NN 小麦)))) (DEC 的)) (ADJP (JJ 不利)) (NP (NN 自然) (NN 条件))) (VP (ADVP (AD 不)) (VP (VV 包括) (NP (NN 旱涝) (NN 灾害)) (IP (VP (VV 频发)))))) )!@#!@#!@#!@#指示_0(②地种植小麦的不利自然条件,旱涝灾害频发)!@#指示!@#0_8!@#0-11!@#!@#!@#!@#!@#!@#!@#!@#含主语的句子!@#null!@#名词短语+动词短语!@#7-8!@#!@#7
9-B!@#②地种植小麦的不利自然条件不包括	多盐碱地!@#None!@#②地 种植 小麦 的 不利 自然 条件 不 包括 多 盐碱地!@#②地 种植 小麦 的 不利 自然 条件 不 包括 多 盐碱 地!@#②地 种植 小麦 的 不利 自然 条件 不 包括 多 盐碱地!@#②地 种植 小麦 的 不利 自然 条件 不 包括 多 盐碱地!@#loc VV NN DEC JJ NN NN AD VV JJ term!@#NN VV NN DEC JJ NN NN AD VV JJ NN!@#!@#0!@#0!@#10!@#!@#!@#!@#( (IP (NP (NP (NR ②地)) (CP (IP (VP (VV 种植) (NP (NN 小麦)))) (DEC 的)) (ADJP (JJ 不利)) (NP (NN 自然) (NN 条件))) (VP (ADVP (AD 不)) (VP (VV 包括) (NP (ADJP (JJ 多)) (NP (NN 盐碱地)))))) )!@#!@#!@#!@#指示_0(②地种植小麦的不利自然条件,多盐碱地)!@#指示!@#0_8!@#0-10!@#!@#!@#!@#!@#!@#!@#!@#名词短语(时间/地点/实体/其他)!@#!@#!@#!@#!@#7
9-C!@#②地种植小麦的不利自然条件不包括	常受台风影响!@#None!@#②地 种植 小麦 的 不利 自然 条件 不 包括 常 受 台风 影响!@#②地 种植 小麦 的 不利 自然 条件 不 包括 常 受 台风 影响!@#②地 种植 小麦 的 不利 自然 条件 不 包括 常 受 台风 影响!@#②地 种植 小麦 的 不利 自然 条件 不 包括 常 受 台风 影响!@#loc VV NN DEC JJ NN NN AD VV AD VV term NN!@#NN VV NN DEC JJ NN NN AD VV AD VV NN NN!@#!@#0!@#0!@#11!@#!@#!@#!@#( (IP (NP (NP (NR ②地)) (CP (IP (VP (VV 种植) (NP (NN 小麦)))) (DEC 的)) (ADJP (JJ 不利)) (NP (NN 自然) (NN 条件))) (VP (ADVP (AD 不)) (VP (VV 包括) (VP (ADVP (AD 常)) (VP (VV 受) (NP (NN 台风) (NN 影响))))))) )!@#!@#!@#!@#指示_0(②地种植小麦的不利自然条件,常受台风影响)!@#指示!@#0_8!@#0-12!@#!@#!@#!@#!@#!@#!@#!@#不含主语的句子（动词短语)!@#!@#!@#!@#!@#7
